"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"908","GF13_B4_d35_colon","308.01 (5/19/12)","D","5.44","GF13","3","A10","7","AM-F0628","AM-R0611","colon","B_1_4","F","yes",NA,"35","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",5135071,544873,"10.61081726","",NA,NA,NA,NA,NA,"",NA,"",""
"909","GF13_B5_d35_colon","308.01 (5/19/12)","D","3.75","GF13","3","A11","7","AM-F0631","AM-R0612","colon","B_1_5","M","yes",NA,"35","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1162648,87280,"7.507001259","",NA,NA,NA,NA,NA,"",NA,"",""
"1223","GF17_b2_d31_stool","308.01 (5/19/12)","D","7.69","GF17","tubes","C01","6","","AM-R0530","stool","B_1_2",NA,"no","10.33","31","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","Isolator_contamination",1198626,802085,"66.91703667","",NA,NA,NA,NA,NA,"",NA,"",""
"1224","GF17_b3_d31_stool","308.01 (5/19/12)","D","7.4","GF17","tubes","A04","8","","AM-R0701","stool","B_1_3","F","no","10.66","31","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","Isolator_contamination",2034415,436546,"21.45806043","",NA,NA,NA,NA,NA,"",NA,"",""
"1225","GF17_b6_d31_stool","308.01 (5/19/12)","D","11.9","GF17","tubes","D07","8","N820","AM-R0740","stool","B_1_6","F","yes",NA,"31","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","Isolator_contamination",1616040,352616,"21.81975694","",NA,NA,NA,NA,NA,"",NA,"",""
"1240","GF26_A4_d146_stool","308.01 (5/19/12)","D","3.4","GF26","","G11","UDI Plate 05","AM-F0492","AM-R0492","stool","A4","M","no",NA,"","4/7/23","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",2368287,1368550,"57.78649294","",NA,NA,NA,NA,NA,"",NA,"",""
"1416","GF13_A1_d32","308.01 (5/19/12)","D","9.65","GF13","2","G12","6","AM-F0590","AM-R0589","stool","A_1_1","M","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",882329,659507,"74.74615478","",NA,NA,NA,NA,NA,"",NA,"",""
"1417","GF13_A2_d32","308.01 (5/19/12)","D","2.2","GF13","2","H1","6","AM-F0615","AM-R0590","stool","A_1_2","F","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",293948,110676,"37.65155742","",NA,NA,NA,NA,NA,"",NA,"",""
"1418","GF13_A3_d32","308.01 (5/19/12)","D","22.3","GF13","2","H2","6","AM-F0616","AM-R0591","stool","A_1_3","M","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",910769,337597,"37.06724757","",NA,NA,NA,NA,NA,"",NA,"",""
"1419","GF13_A4_d32","308.01 (5/19/12)","D","8.24","GF13","2","H3","6","AM-F0617","AM-R0592","stool","A_1_4","M","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",968338,168466,"17.39743767","",NA,NA,NA,NA,NA,"",NA,"",""
"1420","GF13_A5_d32","308.01 (5/19/12)","D","16.8","GF13","2","H4","6","AM-F0608","AM-R0593","stool","A_1_5","F","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",1052246,270435,"25.70073918","",NA,NA,NA,NA,NA,"",NA,"",""
"1421","GF13_A6_d32","308.01 (5/19/12)","D","41.3","GF13","2","H5","6","AM-F0620","AM-R0594","stool","A_1_6","F","yes",NA,"32","","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",1105621,116044,"10.4958209","",NA,NA,NA,NA,NA,"",NA,"",""
"1710","GF13_B1_d32","308.01 (5/19/12)","D","10","GF13","2","H6","6","AM-F0597","AM-R0595","stool","B_1_1","F","no","11","32","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","",1177879,928840,"78.85699635","",NA,NA,NA,NA,NA,"",NA,"",""
"1711","GF13_B2_d32","308.01 (5/19/12)","D","14.1","GF13","2","H7","6","AM-F0610","AM-R0596","stool","B_1_2","M","yes",NA,"32","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","",1417925,295331,"20.8283936","",NA,NA,NA,NA,NA,"",NA,"",""
"1712","GF13_B3_d32","308.01 (5/19/12)","D","9.07","GF13","2","H8","6","AM-F0611","AM-R0597","stool","B_1_3","F","yes",NA,"32","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","",1387155,596401,"42.99454639","",NA,NA,NA,NA,NA,"",NA,"",""
"1713","GF13_B4_d32","308.01 (5/19/12)","D","26","GF13","2","H9","6","AM-F0627","AM-R0598","stool","B_1_4","F","yes",NA,"32","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","",1449255,1262680,"87.12614412","",NA,NA,NA,NA,NA,"",NA,"",""
"1714","GF13_B5_d32","308.01 (5/19/12)","D","17.9","GF13","2","H10","6","AM-F0630","AM-R0599","stool","B_1_5","M","yes",NA,"32","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","",1563623,82173,"5.255294914","",NA,NA,NA,NA,NA,"",NA,"",""
"1718","GF17_a1_d31_stool","308.01 (5/19/12)","D","12.7","GF17","tubes","C12","7","AM-F0632","AM-R0637","stool","A_1_1","F","yes",NA,"31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1612641,1206862,"74.8376111","",NA,NA,NA,NA,NA,"",NA,"",""
"1719","GF17_a2_d31_stool","308.01 (5/19/12)","D","8.13","GF17","tubes","C02","7","AM-F0645","AM-R0627","stool","A_1_2","M","no  ","10.66","31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1351705,683505,"50.56613684","",NA,NA,NA,NA,NA,"",NA,"",""
"1720","GF17_a3_d31_stool","308.01 (5/19/12)","D","6.35","GF17","tubes","B11","6","AM-F0530","AM-R0528","stool","A_1_3","F","no","10.66","31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1428806,733263,"51.31998326","",NA,NA,NA,NA,NA,"",NA,"",""
"1721","GF17_a4_d31_stool","308.01 (5/19/12)","D","6.49","GF17","tubes","B06","6","AM-F0701","AM-R0523","stool","A_1_4","F","no","11.33","31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",4580241,3238130,"70.69780826","",NA,NA,NA,NA,NA,"",NA,"",""
"1722","GF17_a5_d31_stool","308.01 (5/19/12)","D","4.06","GF17","tubes","D11","7","AM-F0740","AM-R0648","stool","A_1_5","M","yes",NA,"31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1395702,456247,"32.68942797","",NA,NA,NA,NA,NA,"",NA,"",""
"1723","GF17_a6_d31_stool","308.01 (5/19/12)","D","1.66","GF17","tubes","C07","7","AM-F0450","AM-R0632","stool","A_1_6","M","no","10.66","31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1732511,1057418,"61.03384048","",NA,NA,NA,NA,NA,"",NA,"",""
"1724","GF17_a7_d31_stool","308.01 (5/19/12)","D","3.45","GF17","tubes","D08","7","","AM-R0645","stool","A_1_7",NA,"yes",NA,"31","","probenecid","10","0","beforepro","beforepro",NA,NA,"no","Isolator_contamination",1824270,431016,"23.62676577","",NA,NA,NA,NA,NA,"",NA,"",""
"1951","GF26_A4_d147_stool","308.01 (5/19/12)","D","4.4","GF26","","G12","UDI Plate 05","AM-F0493","AM-R0493","stool","A4","M","no",NA,"","4/7/23","ampicillin/probenecid","11","1","duringamp","duringamp",NA,NA,"no","",849911,582540,"68.54129432","",NA,NA,NA,NA,NA,"",NA,"",""
