Sample	taxa	abundance
GF1_B5_D38	o__Clostridiales	57.2443
GF1_B5_D38	o__Erysipelotrichales	33.25909
GF1_B5_D38	o__Enterobacterales	7.16899
GF1_B5_D38	o__Lactobacillales	2.32762
GF1_B6_d38	o__Clostridiales	66.4014
GF1_B6_d38	o__Erysipelotrichales	25.98555
GF1_B6_d38	o__Enterobacterales	5.85102
GF1_B6_d38	o__Lactobacillales	1.76203
GF1_B7_D38	o__Clostridiales	70.22904
GF1_B7_D38	o__Erysipelotrichales	21.93516
GF1_B7_D38	o__Enterobacterales	4.88654
GF1_B7_D38	o__Lactobacillales	2.94926
GF1_C_mom_d32	o__Clostridiales	66.64622
GF1_C_mom_d32	o__Erysipelotrichales	17.44232
GF1_C_mom_d32	o__Enterobacterales	3.97899
GF1_C_mom_d32	o__Veillonellales	3.74119
GF1_C_mom_d32	o__Tissierellales	3.72307
GF1_C_mom_d32	o__Actinomycetales	2.57628
GF1_C_mom_d32	o__Lactobacillales	1.89193
GF1_C10	o__Clostridiales	59.93828
GF1_C10	o__Erysipelotrichales	21.12827
GF1_C10	o__Enterobacterales	10.22807
GF1_C10	o__Veillonellales	2.81619
GF1_C10	o__Lactobacillales	2.3865
GF1_C10	o__Tissierellales	1.90941
GF1_C10	o__Campylobacterales	1.4866
GF1_C10	o__Actinomycetales	0.10668
GF1_C14	o__Clostridiales	60.45245
GF1_C14	o__Erysipelotrichales	21.65192
GF1_C14	o__Enterobacterales	6.64195
GF1_C14	o__Veillonellales	4.73888
GF1_C14	o__Lactobacillales	2.39429
GF1_C14	o__Tissierellales	1.92098
GF1_C14	o__Actinomycetales	1.44912
GF1_C14	o__Campylobacterales	0.7504
GF1_C17	o__Clostridiales	64.15566
GF1_C17	o__Erysipelotrichales	22.00848
GF1_C17	o__Enterobacterales	4.38761
GF1_C17	o__Veillonellales	3.87555
GF1_C17	o__Lactobacillales	2.00809
GF1_C17	o__Tissierellales	1.67323
GF1_C17	o__Actinomycetales	1.34234
GF1_C17	o__Campylobacterales	0.54906
GF1_C25	o__Clostridiales	65.7136
GF1_C25	o__Erysipelotrichales	19.98492
GF1_C25	o__Enterobacterales	5.25918
GF1_C25	o__Veillonellales	2.81354
GF1_C25	o__Lactobacillales	1.92148
GF1_C25	o__Tissierellales	1.83938
GF1_C25	o__Actinomycetales	1.51305
GF1_C25	o__Campylobacterales	0.95486
GF1_C4_d39	o__Clostridiales	58.44652
GF1_C4_d39	o__Erysipelotrichales	18.18167
GF1_C4_d39	o__Lactobacillales	13.23708
GF1_C4_d39	o__Enterobacterales	10.13473
GF1_C6_d39	o__Clostridiales	38.64275
GF1_C6_d39	o__Erysipelotrichales	28.50523
GF1_C6_d39	o__Lactobacillales	19.34285
GF1_C6_d39	o__Enterobacterales	13.50917
GF1_C7_d39	o__Erysipelotrichales	31.28764
GF1_C7_d39	o__Clostridiales	30.98996
GF1_C7_d39	o__Lactobacillales	26.35101
GF1_C7_d39	o__Enterobacterales	11.37139
GF1_INOC_GF1	o__Enterobacterales	56.20466
GF1_INOC_GF1	o__Clostridiales	18.53018
GF1_INOC_GF1	o__Veillonellales	11.46037
GF1_INOC_GF1	o__Lactobacillales	9.30515
GF1_INOC_GF1	o__Erysipelotrichales	4.33475
GF1_INOC_GF1	o__Bacillales	0.07161
GF1_INOC_GF1	o__Actinomycetales	0.05614
GF1_INOC_GF1	o__Tissierellales	0.03714
GF10_A_DAM_D0	o__Enterobacterales	68.08031
GF10_A_DAM_D0	o__Clostridiales	12.90501
GF10_A_DAM_D0	o__Veillonellales	7.59296
GF10_A_DAM_D0	o__Lactobacillales	7.57537
GF10_A_DAM_D0	o__Erysipelotrichales	3.84636
GF10_A1_COLON_D35	o__Enterobacterales	81.42365
GF10_A1_COLON_D35	o__Lactobacillales	9.10604
