Sample	Species	Abundance
GF24_A3_d131_cwash	Clostridium_paraputrificum	3.64743
GF24_A3_d131_cwash	Clostridium_sp_7_2_43FAA	1.75891
GF24_A3_d131_cwash	Achromobacter_xylosoxidans	1.34662
GF24_A3_d131_cwash	Clostridium_innocuum	1.34389
GF24_A4_38_stool	Klebsiella_aerogenes	44.60982
GF24_A4_38_stool	Clostridium_perfringens	28.61162
GF24_A4_38_stool	Clostridium_paraputrificum	7.26705
GF24_A4_38_stool	Clostridium_innocuum	6.44724
GF24_A4_38_stool	Clostridioides_difficile	3.90359
GF24_A4_38_stool	Clostridium_sp_7_2_43FAA	2.31863
GF24_A4_38_stool	Escherichia_coli	2.30292
GF24_A4_38_stool	Clostridium_neonatale	1.64863
GF24_A4_38_stool	Enterococcus_faecalis	1.34371
GF24_A4_38_stool	Klebsiella_pneumoniae	0.90164
GF24_A4_38_stool	Finegoldia_magna	0.63703
GF24_A4_38_stool	Proteus_mirabilis	0.00811
GF24_A4_39_cwash	Clostridium_perfringens	29.18608
GF24_A4_39_cwash	Clostridium_sp_7_2_43FAA	19.42573
GF24_A4_39_cwash	Escherichia_coli	10.61904
GF24_A4_39_cwash	Clostridium_innocuum	10.21578
GF24_A4_39_cwash	Klebsiella_aerogenes	8.63122
GF24_A4_39_cwash	Clostridium_neonatale	8.58368
GF24_A4_39_cwash	Clostridioides_difficile	7.4607
GF24_A4_39_cwash	Clostridium_paraputrificum	2.61503
GF24_A4_39_cwash	Enterococcus_faecalis	2.58502
GF24_A4_39_cwash	Klebsiella_pneumoniae	0.41957
GF24_A4_39_cwash	Klebsiella_oxytoca	0.25817
GF24_A4_d108_cwash	Klebsiella_aerogenes	86.4956
GF24_A4_d108_cwash	Clostridium_paraputrificum	5.96435
GF24_A4_d108_cwash	Achromobacter_insuavis	4.55394
GF24_A4_d108_cwash	Achromobacter_xylosoxidans	2.98611
GF24_A4_d131_cwash	Klebsiella_aerogenes	89.29939
GF24_A4_d131_cwash	Achromobacter_xylosoxidans	2.79728
GF24_A4_d131_cwash	Clostridium_sp_7_2_43FAA	2.78975
GF24_A4_d131_cwash	Klebsiella_pneumoniae	2.65934
GF24_A4_d131_cwash	Enterococcus_faecalis	2.44073
GF24_A4_d131_cwash	Clostridioides_difficile	0.01349
GF24_A4_d74_cwash	Klebsiella_aerogenes	85.60211
GF24_A4_d74_cwash	Achromobacter_xylosoxidans	10.44646
GF24_A4_d74_cwash	Enterococcus_faecalis	2.14616
GF24_A4_d74_cwash	Klebsiella_pneumoniae	1.10116
GF24_A4_d74_cwash	Clostridium_perfringens	0.70412
GF24_A5_d108_cwash	Klebsiella_oxytoca	54.38174
GF24_A5_d108_cwash	Klebsiella_aerogenes	30.91014
GF24_A5_d108_cwash	Clostridium_sp_7_2_43FAA	5.32624
GF24_A5_d108_cwash	Clostridium_paraputrificum	3.1316
GF24_A5_d108_cwash	Klebsiella_pneumoniae	2.92781
GF24_A5_d108_cwash	Achromobacter_xylosoxidans	1.45155
GF24_A5_d108_cwash	Clostridium_innocuum	0.85849
GF24_A5_d108_cwash	Clostridioides_difficile	0.51196
GF24_A5_d108_cwash	Enterococcus_faecalis	0.28981
GF24_A5_d108_cwash	Clostridium_perfringens	0.21067
GF24_A5_d131_cwash	Klebsiella_aerogenes	83.10128
GF24_A5_d131_cwash	Proteus_mirabilis	11.6068
GF24_A5_d131_cwash	Enterococcus_faecalis	2.14237
GF24_A5_d131_cwash	Klebsiella_pneumoniae	2.07002
GF24_A5_d131_cwash	Clostridioides_difficile	0.72201
GF24_A5_d131_cwash	Achromobacter_xylosoxidans	0.19608
GF24_A5_d131_cwash	Achromobacter_insuavis	0.16143
GF24_A5_d74_cwash	Klebsiella_aerogenes	84.6125
GF24_A5_d74_cwash	Clostridium_perfringens	4.56152
GF24_A5_d74_cwash	Clostridium_innocuum	3.65708
GF24_A5_d74_cwash	Clostridium_paraputrificum	2.48982
GF24_A5_d74_cwash	Proteus_mirabilis	1.6214
GF24_A5_d74_cwash	Clostridioides_difficile	1.06605
GF24_A5_d74_cwash	Klebsiella_pneumoniae	0.99499
GF24_A5_d74_cwash	Clostridium_sp_7_2_43FAA	0.60875
GF24_A5_d74_cwash	Enterococcus_faecalis	0.30118
GF24_A5_d74_cwash	Achromobacter_insuavis	0.08672
GF24_A6_36_stool	Klebsiella_aerogenes	100
GF24_A6_39_cwash	Escherichia_coli	32.67839
GF24_A6_39_cwash	Clostridium_sp_7_2_43FAA	31.84675
GF24_A6_39_cwash	Clostridioides_difficile	12.66939
GF24_A6_39_cwash	Clostridium_paraputrificum	8.29752
GF24_A6_39_cwash	Clostridium_innocuum	7.09301
GF24_A6_39_cwash	Clostridium_neonatale	6.04566
GF24_A6_39_cwash	Enterococcus_faecalis	1.36928
GF24_A6_d108_cwash	Klebsiella_aerogenes	91.23954
GF24_A6_d108_cwash	Klebsiella_pneumoniae	6.27888
GF24_A6_d108_cwash	Klebsiella_oxytoca	1.21295
GF24_A6_d108_cwash	Achromobacter_xylosoxidans	1.10109
GF24_A6_d108_cwash	Clostridium_sp_7_2_43FAA	0.16753
GF24_A6_d131_cwash	Klebsiella_aerogenes	83.87189
