Sample,taxa,abundance
CONV_PBS3_D1,Peptoniphilaceae,4.01006
CONV_PBS3_D1,Peptostreptococcaceae,3.11618
CONV_PBS3_D1,Enterococcaceae,1.5436
CONV_PBS3_D1,Sutterellaceae,0.80066
CONV_PBS4_COLON,Bacteroidaceae,54.79447
CONV_PBS4_COLON,Lachnospiraceae,29.27232
CONV_PBS4_COLON,Akkermansiaceae,13.50345
CONV_PBS4_COLON,Sutterellaceae,2.42976
CONV_PBS4_D0,Bacteroidaceae,76.86505
CONV_PBS4_D0,Akkermansiaceae,14.99767
CONV_PBS4_D0,Lachnospiraceae,5.39144
CONV_PBS4_D0,Lactobacillaceae,1.35989
CONV_PBS4_D0,Sutterellaceae,1.17127
CONV_PBS4_D0,Enterobacteriaceae,0.21468
