Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF3_C8_day45,1.62722,8.59399,1.58931,21.15443,1.34306,1.90623,40.44039,20.30229,1.6884,0,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10767
GF3_C9_day30,0,0.06812,0,0,0.34583,85.42705,1.19855,0,1.94096,0,10.7883,0.2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C9_day32,0,1.98894,0,0,0,82.71366,0.86781,0,2.10071,0,11.81473,0.51415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C9_day34,0,0,0,0,0,0,20.23048,0,79.76952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C9_day38,11.35149,20.89718,13.68816,9.96843,5.09447,9.60966,8.03847,17.94065,0.58936,0,0.62289,2.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04394
GF3_C9_day39,5.10494,16.28546,3.6253,12.20495,4.69202,4.53182,30.99721,17.77793,0.58167,0,0.35762,1.65511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18598
GF3_C9_day40,1.53222,10.61727,4.61695,17.02749,1.9494,3.33993,35.65765,14.81754,0.5047,0,0.66769,1.20723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06193
GF3_C9_day41,3.35056,10.67857,6.24947,17.90488,5.41078,2.44986,27.49254,15.43132,0.71142,0,0.50979,0.75483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05596
GF3_C9_day42,1.90559,7.63252,3.74074,15.97253,1.31689,1.60391,45.77508,15.79704,1.42933,0,0,0.80344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02293
GF3_C9_day45,2.70098,9.33954,0.65857,24.76331,2.59492,2.14176,37.20927,17.2494,2.30039,0,0.19631,0.40198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44357
GF3_C_dam_day19,3.92941,7.58441,7.16682,19.91769,6.40343,0.22498,17.85172,10.13831,0.19484,0,0,0,1.50787,0,0,8.04907,2.23821,0,0,0.78002,0,0,0,0,0,0,0,0,0.02928,0,0,0,0,13.98396
GF3_C_dam_day4,2.03511,5.745,2.70419,22.08839,4.31241,1.04407,34.61535,12.08157,1.75445,0,0.06462,0,0.76194,0,0,10.37543,1.63753,0,0,0.35843,0,0.2593,0,0.11423,0,0,0,0,0.04799,0,0,0,0,0
GF3_C_Sire_day19,2.75034,6.49911,5.32915,19.6546,5.73725,0.43372,14.16522,19.29869,0.89793,0,0,0,0.60139,0,0,6.49298,3.53459,0,0,2.48771,0,0,0.61275,0,0,3.74988,0,0,0.48767,0,0,0,0,7.26702
GF3_C_Sire_day30,2.86434,7.57746,3.52581,12.18918,5.67309,0.49359,11.83087,25.37307,1.09399,0,0.15631,0,0.19481,0,0,2.91475,5.21953,0,0,3.45655,0,0,1.07031,0.26523,0.31201,4.32291,0,0,1.12021,0,0,0,0,10.34599
GF3_C_Sire_day4,1.1773,5.88597,1.18581,17.46613,5.34569,1.04481,29.65791,25.27566,1.16038,0,0.12545,0,0.28629,0,0,6.53252,3.22342,0,0,1.04649,0,0.16245,0.0803,0.2257,0,0,0,0,0.11772,0,0,0,0,0
GF3_inoc,0.93126,6.72813,10.91776,12.85182,1.52893,1.28671,20.30401,36.22893,2.30571,0,0,0,0,0,0,2.7798,1.07537,0,0,1.92791,0,0,0,0,0.05135,1.08229,0,0,0,0,0,0,0,0
