Sample	p__Actinobacteria	p__Bacteroidetes	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
GF12_A2_d34_colon	0	0	7.49666	0	92.50334	0
GF12_A2_d76_colon	0	0	100	0	0	0
GF12_A3_d31	0	0	100	0	0	0
GF12_A3_d32_colon	0	0	0	0	0	0
GF12_A3_d76_colon	0	0	100	0	0	0
GF12_A4_d31	0	0	100	0	0	0
GF12_A4_d32	0	0	100	0	0	0
GF12_A4_d34_colon	0	0	100	0	0	0
GF12_A4_d76_colon	0	0	100	0	0	0
GF12_A5_d34_colon	0	0	100	0	0	0
GF12_A5_d76_colon	0	0	100	0	0	0
GF12_A6_d76_colon	0	0	100	0	0	0
GF12_A7_d76_colon	0	0	100	0	0	0
GF12_A8_d76_colon	0	0	100	0	0	0
GF12_B_Dam_d0	0	0	0	0	0	0
GF12_B1_d79	0	0	100	0	0	0
GF12_B1_d82_colon	0	0	0	0	0	0
GF12_B2_d32	0	0	100	0	0	0
GF12_B2_d34_colon	0	0	0	0	0	0
GF12_B2_d79	0	0	100	0	0	0
GF12_B2_d81	0	0	100	0	0	0
GF12_B2_d82_colon	0	0	100	0	0	0
GF12_B3_d31	0	0	100	0	0	0
GF12_B3_d32	0	0	0	0	0	0
GF12_B3_d34_colon	0	0	0	0	0	0
GF12_B3_d80	0	0	100	0	0	0
GF12_B3_d82_colon	0	0	0	0	0	0
GF12_B4_d31	0	0	100	0	0	0
GF12_B4_d34_colon	0	0	0	0	0	0
GF12_B4_d79	0	0	100	0	0	0
GF12_B5_d79	0	0	100	0	0	0
GF12_B5_d82_colon	0	0	0	0	0	0
GF12_B6_d82_colon	0	0	0	0	0	0
GF12_C1_d31_colon	0	0	0	0	0	0
GF12_C1_d79	0	0	100	0	0	0
GF12_C1_d82_colon	0	0	100	0	0	0
GF12_C1_d92_colon	0	0	0	0	0	0
GF12_C2_d31	0	0	100	0	0	0
GF12_C2_d32_colon	0	0	0	0	0	0
GF12_C2_d79	0	0	100	0	0	0
GF12_C2_d92_colon	0	0	0	0	0	0
GF12_C3_d31	0	0	100	0	0	0
GF12_C3_d34_colon	0	0	0	0	0	0
GF12_C3_d79	0	0	100	0	0	0
GF12_C3_d80_colon	0	0	100	0	0	0
GF12_C3_d92_colon	0	0	0	0	0	0
GF12_C4_d31	0	0	100	0	0	0
GF12_C4_d80_colon	0	0	0	0	0	0
GF12_C4_d80	0	0	0	0	0	0
GF12_C4_d92_colon	0	0	0	0	0	0
GF12_C5_d31_colon	0	0	0	0	0	0
GF12_C5_d79	0	0	100	0	0	0
GF12_C5_d80_colon	0	0	0	0	0	0
GF12_Inoc	0	0	100	0	0	0
GF13_A1_d32	0	0	0	0	100	0
GF13_A1_d34	0	0	0	0	100	0
GF13_A1_d35_colon	0	0	0	0	0	0
GF13_A1_d65_colon	0	0	63.63694	0	36.36306	0
GF13_A10_d65_colon	0	0	72.09778	0	27.90222	0
GF13_A2_d32	0	0	0	0	100	0
GF13_A2_d35_colon	0	0	0	0	0	0
GF13_A2_d65_colon	0	0	63.73415	0	36.26585	0
GF13_A3_d32	0	0	0	0	100	0
GF13_A3_d35_colon	0	0	0	0	0	0
GF13_A3_d65_colon	0	0	78.38921	0	21.61079	0
GF13_A4_d32	0	0	0	0	100	0
GF13_A4_d35_colon	0	0	0	0	0	0
GF13_A4_d65_colon	0	0	74.79494	0	25.20506	0
GF13_A5_d32	0	0	0	0	100	0
GF13_A5_d35_colon	0	0	0	0	0	0
GF13_A5_d65_colon	0	0	76.30108	0	23.69892	0
GF13_A6_d32	0	0	0	0	100	0
GF13_A6_d34	0	0	0	0	100	0
GF13_A6_d35_colon	0	0	0	0	0	0
