Sample	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Coriobacteriia	c__Epsilonproteobacteria	c__Erysipelotrichia	c__Fusobacteriia	c__Gammaproteobacteria	c__Negativicutes	c__Proteobacteria_unclassified	c__Tissierellia	c__Verrucomicrobiae
GF1_B7_D38	0	0	2.94926	0	0	70.22904	0	0	21.93516	0	4.88654	0	0	0	0
GF1_C_mom_d32	2.57628	0	1.89193	0	0	66.64622	0	0	17.44232	0	3.97899	3.74119	0	3.72307	0
GF1_C10	0.10668	0	2.3865	0	0	59.93828	0	1.4866	21.12827	0	10.22807	2.81619	0	1.90941	0
GF1_C14	1.44912	0	2.39429	0	0	60.45245	0	0.7504	21.65192	0	6.64195	4.73888	0	1.92098	0
GF1_C17	1.34234	0	2.00809	0	0	64.15566	0	0.54906	22.00848	0	4.38761	3.87555	0	1.67323	0
GF1_C25	1.51305	0	1.92148	0	0	65.7136	0	0.95486	19.98492	0	5.25918	2.81354	0	1.83938	0
GF1_C4_d39	0	0	13.23708	0	0	58.44652	0	0	18.18167	0	10.13473	0	0	0	0
GF1_C6_d39	0	0	19.34285	0	0	38.64275	0	0	28.50523	0	13.50917	0	0	0	0
GF1_C7_d39	0	0	26.35101	0	0	30.98996	0	0	31.28764	0	11.37139	0	0	0	0
GF1_INOC_GF1	0.05614	0	9.37675	0	0	18.53018	0	0	4.33475	0	56.20466	11.46037	0	0.03714	0
GF10_A_DAM_D0	0	0	7.57537	0	0	12.90501	0	0	3.84636	0	68.08031	7.59296	0	0	0
GF10_A1_COLON_D35	0	0	9.10604	0	0	4.68874	0	0	0.6376	0	81.42365	4.14397	0	0	0
GF10_A1_d101	0	0	24.66459	0	0	0.32224	0	0	0	0	75.01317	0	0	0	0
GF10_A1_d104_colon	0	0	0	0	0	66.36981	0	0	30.47976	0	3.15043	0	0	0	0
GF10_A1_d127_colon	0	0	1.38359	0	0	57.1922	0	0	17.03481	0	18.8082	5.58121	0	0	0
GF10_A1_D32	0	0	6.90207	0	0	42.69523	0	0.0697	20.07998	0	24.04779	5.96891	0	0.23631	0
GF10_A1_D34	0	0	5.8081	0	0	3.72995	0	0	0	0	90.46194	0	0	0	0
GF10_A1_d77	0	0	5.74666	0	0	0	0	0	0	0	94.25334	0	0	0	0
GF10_A1_d79	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_A1_d80_colon	0	0	14.06572	0	0	12.44228	0	0	0.63293	0	72.85906	0	0	0	0
GF10_A2_COLON_D35	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
GF10_A2_d101	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_A2_d103	0	0	2.04913	0	0	0.15079	0	0	0	0	97.80008	0	0	0	0
GF10_A2_d104_colon	0	0	4.11575	0	0	1.18491	0	0	0.0691	0	94.63025	0	0	0	0
GF10_A2_d127_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_A2_D32	0	0	8.59217	0	0	38.39292	0	0.10904	25.76183	0	19.09123	7.82784	0	0.22497	0
GF10_A2_D33	0	0	2.44982	0	0	3.42923	0	0	0.13743	0	93.98352	0	0	0	0
GF10_A2_D34	0	0	4.36083	0	0	13.5129	0	0	3.1799	0	77.78492	1.16145	0	0	0
GF10_A2_d77	0	0	8.65798	0	0	0	0	0	0	0	91.34202	0	0	0	0
GF10_A2_d79	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_A3_COLON_D35	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
GF10_A3_d104_colon	0.35403	0	1.14946	0	0	39.74331	0	0	37.1432	0	15.99554	4.51583	0	1.09863	0
GF10_A3_d127_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_A3_D33	0	0	1.85936	0	0	0.87464	0	0	0.64635	0	96.61965	0	0	0	0
GF10_A3_D34	0	0	4.20296	0	0	9.26172	0	0	2.2589	0	83.11604	1.16038	0	0	0
GF10_A3_d79	0	0	6.35215	0	0	0	0	0	0	0	93.64785	0	0	0	0
GF10_A3_d80_colon	0	0	0.44522	0	0	3.74048	0	0	1.01102	0	94.80328	0	0	0	0
GF10_A4_d101	0	0	2.74942	0	0	0.78554	0	0	0	0	96.46504	0	0	0	0
GF10_A4_d104_colon	0	0	0	0	0	77.40539	0	0	18.87685	0	3.71776	0	0	0	0
GF10_A4_d127_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_A4_d77	0	0	6.82185	0	0	0	0	0	0	0	93.17815	0	0	0	0
GF10_A5_d101	0	0	1.31587	0	0	0	0	0	0	0	98.68413	0	0	0	0
GF10_A5_d104_colon	0	0	4.40762	0	0	0	0	0	0	0	95.59238	0	0	0	0
GF10_A5_d127_colon	0	0	0	0	0	0	0	0	15.54328	0	84.45672	0	0	0	0
GF10_A56_d101	0	0	2.98674	0	0	0.2386	0	0	0	0	96.77465	0	0	0	0
GF10_A6_d102	0	0	2.90735	0	0	12.82376	0	0	1.90886	0	82.36003	0	0	0	0
GF10_A6_d103	0	0	1.6323	0	0	39.71884	0	0	9.63699	0	49.01188	0	0	0	0
GF10_A6_d104_colon	0	0	0	0	0	40.35281	0	0	16.76044	0	42.88675	0	0	0	0
GF10_A6_d127_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_A7_d103	0	0	0.42759	0	0	0	0	0	0	0	99.57241	0	0	0	0
