TaxonomicLevel	Sample	taxa	abundance
phyla	GF10_Adam_d20	p__Firmicutes	87.35742
phyla	GF10_Adam_d20	p__Proteobacteria	7.4192
phyla	GF10_Adam_d20	p__Actinobacteria	5.22338
phyla	GF10_C1_COLON_D55	p__Proteobacteria	99.30141
phyla	GF10_C1_COLON_D55	p__Firmicutes	0.69859
phyla	GF10_C1_d55	p__Proteobacteria	100
phyla	GF10_C1_d77	p__Proteobacteria	77.28815
phyla	GF10_C1_d77	p__Firmicutes	22.71185
phyla	GF10_C10_COLON_D55	p__Proteobacteria	100
phyla	GF10_C2_COLON_D35	p__Proteobacteria	51.10584
phyla	GF10_C2_COLON_D35	p__Firmicutes	36.05913
phyla	GF10_C2_COLON_D35	p__Actinobacteria	12.83503
phyla	GF10_C2_COLON_D55	p__Proteobacteria	100
phyla	GF10_C2_d101	p__Proteobacteria	96.85893
phyla	GF10_C2_d101	p__Firmicutes	3.14107
phyla	GF10_C2_d103	p__Proteobacteria	65.92274
phyla	GF10_C2_d103	p__Firmicutes	34.07726
phyla	GF10_C2_d104_colon	p__Firmicutes	52.32893
phyla	GF10_C2_d104_colon	p__Proteobacteria	47.67107
phyla	GF10_C2_D32	p__Proteobacteria	80.58598
phyla	GF10_C2_D32	p__Firmicutes	16.59536
phyla	GF10_C2_D32	p__Actinobacteria	2.81866
phyla	GF10_C2_D33	p__Proteobacteria	95.38841
phyla	GF10_C2_D33	p__Firmicutes	4.61159
phyla	GF10_C2_D34	p__Proteobacteria	89.67142
phyla	GF10_C2_D34	p__Firmicutes	10.32858
phyla	GF10_C2_d55	p__Firmicutes	64.72727
phyla	GF10_C2_d55	p__Actinobacteria	30.73702
phyla	GF10_C2_d55	p__Proteobacteria	4.5357
phyla	GF10_C2_d77	p__Firmicutes	57.91755
phyla	GF10_C2_d77	p__Proteobacteria	42.08245
phyla	GF10_C2_d80_colon	p__Proteobacteria	100
phyla	GF10_C3_COLON_D35	p__Proteobacteria	66.69284
phyla	GF10_C3_COLON_D35	p__Firmicutes	28.29546
phyla	GF10_C3_COLON_D35	p__Actinobacteria	5.01171
phyla	GF10_C3_d101	p__Proteobacteria	98.30644
phyla	GF10_C3_d101	p__Firmicutes	1.69356
phyla	GF10_C3_D33	p__Proteobacteria	99.87258
phyla	GF10_C3_D33	p__Firmicutes	0.12742
phyla	GF10_C3_d55	p__Proteobacteria	100
phyla	GF10_C3_d78	p__Proteobacteria	100
phyla	GF10_C4_COLON_D55	p__Proteobacteria	100
phyla	GF10_C4_d102_colon	p__Proteobacteria	100
phyla	GF10_C4_d55	p__Firmicutes	61.36547
phyla	GF10_C4_d55	p__Actinobacteria	36.084
phyla	GF10_C4_d55	p__Proteobacteria	2.55053
phyla	GF10_C4_d77	p__Proteobacteria	61.41345
phyla	GF10_C4_d77	p__Firmicutes	38.58655
phyla	GF10_C4_d80_colon	p__Firmicutes	58.46527
phyla	GF10_C4_d80_colon	p__Proteobacteria	41.53473
phyla	GF10_C5_COLON_D55	p__Proteobacteria	98.99094
phyla	GF10_C5_COLON_D55	p__Firmicutes	1.00906
phyla	GF10_C5_d101	p__Proteobacteria	97.13893
phyla	GF10_C5_d101	p__Firmicutes	2.86107
phyla	GF10_C5_d55	p__Firmicutes	67.11788
phyla	GF10_C5_d55	p__Actinobacteria	29.87981
phyla	GF10_C5_d55	p__Proteobacteria	3.00231
phyla	GF10_C5_d77	p__Proteobacteria	98.38223
phyla	GF10_C5_d77	p__Firmicutes	1.61777
