Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
C7-d53,50.95227,9.99653,19.81234,10.71183,1.79079,6.03236,0.62424,0,0,0.07964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d35,0.40659,93.05069,0,0.87009,5.67263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d38,35.99393,19.11827,20.88168,2.32938,21.67674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d44,47.71527,11.72805,25.0592,10.79282,4.1065,0,0.59816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d45,57.51488,5.19833,22.60384,11.53931,2.49721,0,0.64642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d53,61.26181,5.16556,15.57288,10.47287,1.12861,5.70629,0.69198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_COLON,0,0,0,16.1756,51.80815,0,0,0,0,0,0,32.01625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D0,0,0,0,1.04501,2.41612,0,0,0,0,0,0,5.81218,43.61721,42.56373,4.54574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D1,0,0,0,0.02432,0.87379,0,0,0,0,0,0,0.26921,9.79566,88.72675,0.31027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D3,0,0,0,3.15861,96.75582,0,0,0,0,0,0,0,0,0.08557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
