Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
C3-d53	0	0	0	0	0	0	54.66751	0	0	0	6.14464	1.13475	20.6894	0	0	0	0.67973	0	0	0	10.22784	0	0	0	0	0	0	0	0	6.45614	0
C4-d33	0	0	0	0	0	0	4.84584	0	0	0	53.83426	39.26759	0	0	0	0	1.3009	0	0	0	0.75141	0	0	0	0	0	0	0	0	0	0
C4-d44	0	0	0	0	0	0	65.18005	0	0	0	9.2715	1.52302	15.82774	0	0	0	0.35998	0	0	0	7.80902	0	0	0	0	0	0	0	0	0.02869	0
C4-d45	0	0	0	0	0	0	60.78886	0	0	0	2.40464	0	30.62652	0	0	0	0	0	0	0	6.17998	0	0	0	0	0	0	0	0	0	0
C4-d53	0	0	0	0	0	0	62.68176	0	0	0	6.4123	1.27466	14.67526	0	0	0	0.64088	0	0	0	8.18151	0	0	0	0	0	0	0	0	6.13363	0
C5-d34	0	0	0	0	0	0	7.32267	0	0	0	17.46433	71.29989	0.24155	0	0	0	0	0	0	0	3.67155	0	0	0	0	0	0	0	0	0	0
C5-d44	0	0	0	0	0	0	61.51265	0	0	0	7.27166	1.6703	19.02976	0	0	0	0.5427	0	0	0	9.97294	0	0	0	0	0	0	0	0	0	0
C5-d45	0	0	0	0	0	0	67.48721	0	0	0	5.02127	1.57584	16.02173	0	0	0	0.68468	0	0	0	9.20928	0	0	0	0	0	0	0	0	0	0
C5-d53	0	0	0	0	0	0	59.40133	0	0	0	5.9464	1.21093	15.24924	0	0	0	0.65957	0	0	0	11.74847	0	0	0	0	0	0	0	0	5.78406	0
C6-d33	0	0	0	0	0	0	0	0	0	0	13.45539	86.44359	0	0	0	0	0	0	0	0	0.10102	0	0	0	0	0	0	0	0	0	0
C6-d37	0	0	0	0	0	0	3.42325	0	0	0	60.15451	34.09464	0.98104	0	0	0	0	0	0	0	1.34655	0	0	0	0	0	0	0	0	0	0
C6-d44	0	0	0	0	0	0	41.50618	0	0	0	21.06768	2.72121	22.64526	0	0	0	0.32749	0	0	0	11.73218	0	0	0	0	0	0	0	0	0	0
C6-d49	0	0	0	0	0	0	70.41212	0	0	0	3.08094	1.30648	15.67005	0	0	0	0.76769	0	0	0	4.68058	0	0	0	0	0	0	0	0	4.08214	0
C6-d53	0	0	0	0	0	0	66.54601	0	0	0	5.28754	1.14587	12.22493	0	0	0	0.6401	0	0	0.15807	8.65374	0	0	0	0	0	0	0	0	5.34375	0
C7-d33	0	0	0	0	0	0	0.5973	0	0	0	39.77232	58.84773	0	0	0	0	0	0	0	0	0.78265	0	0	0	0	0	0	0	0	0	0
C7-d38	0	0	0	0	0	0	9.25494	0	0	0	62.78046	16.63315	9.16195	0	0	0	0	0	0	0	2.1695	0	0	0	0	0	0	0	0	0	0
C7-d44	0	0	0	0	0	0	54.16725	0	0	0	14.84168	1.52403	20.0141	0	0	0	0.62527	0	0	0	8.82766	0	0	0	0	0	0	0	0	0	0
C7-d45	0	0	0	0	0	0	61.68002	0	0	0	9.0375	1.58762	15.03512	0	0	0	0.98955	0	0	0	11.6702	0	0	0	0	0	0	0	0	0	0
C7-d53	0.07964	0	0	0	0	0	50.95227	0	0	0	9.99653	1.79079	19.81234	0	0	0	0.62424	0	0	0	10.71183	0	0	0	0	0	0	0	0	6.03236	0
C8-d35	0	0	0	0	0	0	0.40659	0	0	0	93.05069	5.67263	0	0	0	0	0	0	0	0	0.87009	0	0	0	0	0	0	0	0	0	0
C8-d38	0	0	0	0	0	0	35.99393	0	0	0	19.11827	21.67674	20.88168	0	0	0	0	0	0	0	2.32938	0	0	0	0	0	0	0	0	0	0
C8-d44	0	0	0	0	0	0	47.71527	0	0	0	11.72805	4.1065	25.0592	0	0	0	0.59816	0	0	0	10.79282	0	0	0	0	0	0	0	0	0	0
C8-d45	0	0	0	0	0	0	57.51488	0	0	0	5.19833	2.49721	22.60384	0	0	0	0.64642	0	0	0	11.53931	0	0	0	0	0	0	0	0	0	0
C8-d53	0	0	0	0	0	0	61.26181	0	0	0	5.16556	1.12861	15.57288	0	0	0	0.69198	0	0	0	10.47287	0	0	0	0	0	0	0	0	5.70629	0
CONV_MERO1_COLON	0	0	0	32.01625	0	0	0	0	0	0	0	51.80815	0	0	0	0	0	0	0	0	16.1756	0	0	0	0	0	0	0	0	0	0
CONV_MERO1_D0	0	43.61721	0	5.81218	0	0	0	0	0	0	0	2.41612	0	0	4.54574	42.56373	0	0	0	0	1.04501	0	0	0	0	0	0	0	0	0	0
CONV_MERO1_D1	0	9.79566	0	0.26921	0	0	0	0	0	0	0	0.87379	0	0	0.31027	88.72675	0	0	0	0	0.02432	0	0	0	0	0	0	0	0	0	0
CONV_MERO1_D3	0	0	0	0	0	0	0	0	0	0	0	96.75582	0	0	0	0.08557	0	0	0	0	3.15861	0	0	0	0	0	0	0	0	0	0
CONV_MERO2_COLON	0	0	0	14.57135	0	0	0	0	0	0	0	43.21215	0	0	0	0	0	0	0	0	42.2165	0	0	0	0	0	0	0	0	0	0
CONV_MERO2_D0	0	48.21463	0	10.64572	0	0	0	0	0	0	0.20283	7.37509	0	0	10.03855	23.11782	0	0	0	0	0.40536	0	0	0	0	0	0	0	0	0	0
