Sample	taxa	abundance
GF1_C_mom_d32	c__Bacilli	1.89193
GF1_C10	c__Clostridia	59.93828
GF1_C10	c__Erysipelotrichia	21.12827
GF1_C10	c__Gammaproteobacteria	10.22807
GF1_C10	c__Negativicutes	2.81619
GF1_C10	c__Bacilli	2.3865
GF1_C10	c__Tissierellia	1.90941
GF1_C10	c__Epsilonproteobacteria	1.4866
GF1_C10	c__Actinobacteria	0.10668
GF1_C14	c__Clostridia	60.45245
GF1_C14	c__Erysipelotrichia	21.65192
GF1_C14	c__Gammaproteobacteria	6.64195
GF1_C14	c__Negativicutes	4.73888
GF1_C14	c__Bacilli	2.39429
GF1_C14	c__Tissierellia	1.92098
GF1_C14	c__Actinobacteria	1.44912
GF1_C14	c__Epsilonproteobacteria	0.7504
GF1_C17	c__Clostridia	64.15566
GF1_C17	c__Erysipelotrichia	22.00848
GF1_C17	c__Gammaproteobacteria	4.38761
GF1_C17	c__Negativicutes	3.87555
GF1_C17	c__Bacilli	2.00809
GF1_C17	c__Tissierellia	1.67323
GF1_C17	c__Actinobacteria	1.34234
GF1_C17	c__Epsilonproteobacteria	0.54906
GF1_C25	c__Clostridia	65.7136
GF1_C25	c__Erysipelotrichia	19.98492
GF1_C25	c__Gammaproteobacteria	5.25918
GF1_C25	c__Negativicutes	2.81354
GF1_C25	c__Bacilli	1.92148
GF1_C25	c__Tissierellia	1.83938
GF1_C25	c__Actinobacteria	1.51305
GF1_C25	c__Epsilonproteobacteria	0.95486
GF1_C4_d39	c__Clostridia	58.44652
GF1_C4_d39	c__Erysipelotrichia	18.18167
GF1_C4_d39	c__Bacilli	13.23708
GF1_C4_d39	c__Gammaproteobacteria	10.13473
GF1_C6_d39	c__Clostridia	38.64275
GF1_C6_d39	c__Erysipelotrichia	28.50523
GF1_C6_d39	c__Bacilli	19.34285
GF1_C6_d39	c__Gammaproteobacteria	13.50917
GF1_C7_d39	c__Erysipelotrichia	31.28764
GF1_C7_d39	c__Clostridia	30.98996
GF1_C7_d39	c__Bacilli	26.35101
GF1_C7_d39	c__Gammaproteobacteria	11.37139
GF1_INOC_GF1	c__Gammaproteobacteria	56.20466
GF1_INOC_GF1	c__Clostridia	18.53018
GF1_INOC_GF1	c__Negativicutes	11.46037
GF1_INOC_GF1	c__Bacilli	9.37675
GF1_INOC_GF1	c__Erysipelotrichia	4.33475
GF1_INOC_GF1	c__Actinobacteria	0.05614
GF1_INOC_GF1	c__Tissierellia	0.03714
GF10_A_DAM_D0	c__Gammaproteobacteria	68.08031
GF10_A_DAM_D0	c__Clostridia	12.90501
GF10_A_DAM_D0	c__Negativicutes	7.59296
GF10_A_DAM_D0	c__Bacilli	7.57537
GF10_A_DAM_D0	c__Erysipelotrichia	3.84636
GF10_A1_COLON_D35	c__Gammaproteobacteria	81.42365
GF10_A1_COLON_D35	c__Bacilli	9.10604
GF10_A1_COLON_D35	c__Clostridia	4.68874
GF10_A1_COLON_D35	c__Negativicutes	4.14397
GF10_A1_COLON_D35	c__Erysipelotrichia	0.6376
GF10_A1_d101	c__Gammaproteobacteria	75.01317
GF10_A1_d101	c__Bacilli	24.66459
