Sample	taxa	abundance
GF1_C6_d39	p__Firmicutes	86.49083
GF1_C6_d39	p__Proteobacteria	13.50917
GF1_C7_d39	p__Firmicutes	88.62861
GF1_C7_d39	p__Proteobacteria	11.37139
GF1_INOC_GF1	p__Proteobacteria	56.20466
GF1_INOC_GF1	p__Firmicutes	43.7392
GF1_INOC_GF1	p__Actinobacteria	0.05614
GF10_A_DAM_D0	p__Proteobacteria	68.08031
GF10_A_DAM_D0	p__Firmicutes	31.91969
GF10_A1_COLON_D35	p__Proteobacteria	81.42365
GF10_A1_COLON_D35	p__Firmicutes	18.57635
GF10_A1_d101	p__Proteobacteria	75.01317
GF10_A1_d101	p__Firmicutes	24.98683
GF10_A1_d104_colon	p__Firmicutes	96.84957
GF10_A1_d104_colon	p__Proteobacteria	3.15043
GF10_A1_d127_colon	p__Firmicutes	81.1918
GF10_A1_d127_colon	p__Proteobacteria	18.8082
GF10_A1_D32	p__Firmicutes	75.88251
GF10_A1_D32	p__Proteobacteria	24.11749
GF10_A1_D34	p__Proteobacteria	90.46194
GF10_A1_D34	p__Firmicutes	9.53806
GF10_A1_d77	p__Proteobacteria	94.25334
GF10_A1_d77	p__Firmicutes	5.74666
GF10_A1_d79	p__Proteobacteria	100
GF10_A1_d80_colon	p__Proteobacteria	72.85906
GF10_A1_d80_colon	p__Firmicutes	27.14094
GF10_A2_COLON_D35	p__Firmicutes	100
GF10_A2_d101	p__Proteobacteria	100
GF10_A2_d103	p__Proteobacteria	97.80008
GF10_A2_d103	p__Firmicutes	2.19992
GF10_A2_d104_colon	p__Proteobacteria	94.63025
GF10_A2_d104_colon	p__Firmicutes	5.36975
GF10_A2_d127_colon	p__Proteobacteria	100
GF10_A2_D32	p__Firmicutes	80.79973
GF10_A2_D32	p__Proteobacteria	19.20027
GF10_A2_D33	p__Proteobacteria	93.98352
GF10_A2_D33	p__Firmicutes	6.01648
GF10_A2_D34	p__Proteobacteria	77.78492
GF10_A2_D34	p__Firmicutes	22.21508
GF10_A2_d77	p__Proteobacteria	91.34202
GF10_A2_d77	p__Firmicutes	8.65798
GF10_A2_d79	p__Proteobacteria	100
GF10_A3_COLON_D35	p__Firmicutes	100
GF10_A3_d104_colon	p__Firmicutes	83.65043
GF10_A3_d104_colon	p__Proteobacteria	15.99554
GF10_A3_d104_colon	p__Actinobacteria	0.35403
GF10_A3_D33	p__Proteobacteria	96.61965
GF10_A3_D33	p__Firmicutes	3.38035
GF10_A3_D34	p__Proteobacteria	83.11604
GF10_A3_D34	p__Firmicutes	16.88396
GF10_A3_d79	p__Proteobacteria	93.64785
GF10_A3_d79	p__Firmicutes	6.35215
GF10_A3_d80_colon	p__Proteobacteria	94.80328
GF10_A3_d80_colon	p__Firmicutes	5.19672
GF10_A4_d101	p__Proteobacteria	96.46504
GF10_A4_d101	p__Firmicutes	3.53496
GF10_A4_d104_colon	p__Firmicutes	96.28224
GF10_A4_d104_colon	p__Proteobacteria	3.71776
GF10_A4_d77	p__Proteobacteria	93.17815
GF10_A4_d77	p__Firmicutes	6.82185
GF10_A5_d101	p__Proteobacteria	98.68413
GF10_A5_d101	p__Firmicutes	1.31587
GF10_A5_d104_colon	p__Proteobacteria	95.59238
GF10_A5_d104_colon	p__Firmicutes	4.40762
GF10_A5_d127_colon	p__Proteobacteria	84.45672
GF10_A5_d127_colon	p__Firmicutes	15.54328
GF10_A56_d101	p__Proteobacteria	96.77465
GF10_A56_d101	p__Firmicutes	3.22535
GF10_A6_d102	p__Proteobacteria	82.36003
GF10_A6_d102	p__Firmicutes	17.63997
GF10_A6_d103	p__Firmicutes	50.98812
GF10_A6_d103	p__Proteobacteria	49.01188
GF10_A6_d104_colon	p__Firmicutes	57.11325
GF10_A6_d104_colon	p__Proteobacteria	42.88675
GF10_A7_d103	p__Proteobacteria	99.57241
GF10_A7_d103	p__Firmicutes	0.42759
GF10_A7_d104_colon	p__Proteobacteria	100
GF10_A7_d127_colon	p__Proteobacteria	99.55735
GF10_A7_d127_colon	p__Firmicutes	0.44265
GF10_A8_d102	p__Proteobacteria	99.20868
GF10_A8_d102	p__Firmicutes	0.79132
GF10_A8_d104_colon	p__Firmicutes	75.73513
GF10_A8_d104_colon	p__Proteobacteria	24.18069
GF10_A8_d104_colon	p__Actinobacteria	0.08418
GF10_Adam_d1	p__Firmicutes	83.73109
GF10_Adam_d1	p__Proteobacteria	16.26891
GF10_Adam_d20	p__Firmicutes	87.35742
GF10_Adam_d20	p__Proteobacteria	7.4192
GF10_Adam_d20	p__Actinobacteria	5.22338
GF10_C1_COLON_D55	p__Proteobacteria	99.30141
GF10_C1_COLON_D55	p__Firmicutes	0.69859
GF10_C1_d55	p__Proteobacteria	100
GF10_C1_d77	p__Proteobacteria	77.28815
GF10_C1_d77	p__Firmicutes	22.71185
GF10_C10_COLON_D55	p__Proteobacteria	100
GF10_C2_COLON_D35	p__Proteobacteria	51.10584
GF10_C2_COLON_D35	p__Firmicutes	36.05913
GF10_C2_COLON_D35	p__Actinobacteria	12.83503
GF10_C2_COLON_D55	p__Proteobacteria	100
GF10_C2_d101	p__Proteobacteria	96.85893
GF10_C2_d101	p__Firmicutes	3.14107
GF10_C2_d103	p__Proteobacteria	65.92274
GF10_C2_d103	p__Firmicutes	34.07726
GF10_C2_d104_colon	p__Firmicutes	52.32893
GF10_C2_d104_colon	p__Proteobacteria	47.67107
GF10_C2_D32	p__Proteobacteria	80.58598
GF10_C2_D32	p__Firmicutes	16.59536
GF10_C2_D32	p__Actinobacteria	2.81866
GF10_C2_D33	p__Proteobacteria	95.38841
GF10_C2_D33	p__Firmicutes	4.61159
GF10_C2_D34	p__Proteobacteria	89.67142
GF10_C2_D34	p__Firmicutes	10.32858
GF10_C2_d55	p__Firmicutes	64.72727
GF10_C2_d55	p__Actinobacteria	30.73702
GF10_C2_d55	p__Proteobacteria	4.5357
GF10_C2_d77	p__Firmicutes	57.91755
GF10_C2_d77	p__Proteobacteria	42.08245
GF10_C2_d80_colon	p__Proteobacteria	100
GF10_C3_COLON_D35	p__Proteobacteria	66.69284
GF10_C3_COLON_D35	p__Firmicutes	28.29546
GF10_C3_COLON_D35	p__Actinobacteria	5.01171
GF10_C3_d101	p__Proteobacteria	98.30644
GF10_C3_d101	p__Firmicutes	1.69356
GF10_C3_D33	p__Proteobacteria	99.87258
GF10_C3_D33	p__Firmicutes	0.12742
GF10_C3_d55	p__Proteobacteria	100
GF10_C3_d78	p__Proteobacteria	100
GF10_C4_COLON_D55	p__Proteobacteria	100
GF10_C4_d102_colon	p__Proteobacteria	100
GF10_C4_d55	p__Firmicutes	61.36547
GF10_C4_d55	p__Actinobacteria	36.084
GF10_C4_d55	p__Proteobacteria	2.55053
GF10_C4_d77	p__Proteobacteria	61.41345
GF10_C4_d77	p__Firmicutes	38.58655
GF10_C4_d80_colon	p__Firmicutes	58.46527
GF10_C4_d80_colon	p__Proteobacteria	41.53473
GF10_C5_COLON_D55	p__Proteobacteria	98.99094
GF10_C5_COLON_D55	p__Firmicutes	1.00906
GF10_C5_d101	p__Proteobacteria	97.13893
GF10_C5_d101	p__Firmicutes	2.86107
GF10_C5_d55	p__Firmicutes	67.11788
GF10_C5_d55	p__Actinobacteria	29.87981
GF10_C5_d55	p__Proteobacteria	3.00231
GF10_C5_d77	p__Proteobacteria	98.38223
GF10_C5_d77	p__Firmicutes	1.61777
GF10_C6_COLON_D55	p__Proteobacteria	98.48565
GF10_C6_COLON_D55	p__Firmicutes	1.51435
GF10_C6_d101	p__Proteobacteria	99.87219
GF10_C6_d101	p__Firmicutes	0.12781
GF10_C6_d55	p__Firmicutes	63.9216
GF10_C6_d55	p__Actinobacteria	30.27019
GF10_C6_d55	p__Proteobacteria	5.80822
GF10_C7_COLON_D55	p__Proteobacteria	100
GF10_C8_COLON_D55	p__Proteobacteria	100
GF10_C8_d101	p__Proteobacteria	97.86169
GF10_C8_d101	p__Firmicutes	2.13831
GF10_C8_d103	p__Firmicutes	77.35083
GF10_C8_d103	p__Proteobacteria	22.64917
GF10_C8_d55	p__Firmicutes	71.35074
GF10_C8_d55	p__Actinobacteria	18.27397
GF10_C8_d55	p__Proteobacteria	10.37529
GF10_C9_COLON_D55	p__Proteobacteria	92.80029
GF10_C9_COLON_D55	p__Firmicutes	7.19971
GF10_Cdam_d0	p__Firmicutes	62.35853
GF10_Cdam_d0	p__Actinobacteria	36.5025
GF10_Cdam_d0	p__Proteobacteria	1.13896
GF10_Cdam_d1	p__Firmicutes	80.46326
GF10_Cdam_d1	p__Proteobacteria	19.53674
GF10_Cdam_d20	p__Firmicutes	88.26704
GF10_Cdam_d20	p__Proteobacteria	7.89841
GF10_Cdam_d20	p__Actinobacteria	3.83456
GF10_INOC	p__Proteobacteria	64.26206
GF10_INOC	p__Firmicutes	35.73794
GF11_A_DAM_D0	p__Firmicutes	44.62522
GF11_A_DAM_D0	p__Proteobacteria	42.37855
GF11_A_DAM_D0	p__Actinobacteria	12.99624
GF11_A1_COLON_D38	p__Firmicutes	47.4035
GF11_A1_COLON_D38	p__Proteobacteria	34.36322
GF11_A1_COLON_D38	p__Actinobacteria	18.23328
GF11_A1_D35	p__Proteobacteria	81.86477
GF11_A1_D35	p__Firmicutes	13.52493
GF11_A1_D35	p__Actinobacteria	4.61029
GF11_A1_D37	p__Proteobacteria	72.08355
GF11_A1_D37	p__Firmicutes	26.19261
GF11_A1_D37	p__Actinobacteria	1.72383
GF11_A2_COLON_D38	p__Proteobacteria	49.544
GF11_A2_COLON_D38	p__Firmicutes	40.60568
GF11_A2_COLON_D38	p__Actinobacteria	9.85031
GF11_A2_D35	p__Proteobacteria	72.46512
GF11_A2_D35	p__Firmicutes	25.73411
GF11_A2_D35	p__Actinobacteria	1.80078
GF11_A2_D36	p__Proteobacteria	75.87948
GF11_A2_D36	p__Firmicutes	24.12052
GF11_A3_D36	p__Proteobacteria	100
GF11_A4_COLON_D38	p__Proteobacteria	49.99287
GF11_A4_COLON_D38	p__Firmicutes	37.4091
GF11_A4_COLON_D38	p__Actinobacteria	12.59802
GF11_A4_D37	p__Proteobacteria	94.92198
GF11_A4_D37	p__Firmicutes	4.3127
GF11_A4_D37	p__Actinobacteria	0.76533
GF11_A5_D35	p__Proteobacteria	81.1804
GF11_A5_D35	p__Actinobacteria	15.51447
GF11_A5_D35	p__Firmicutes	3.30513
GF11_B_dam_d111	p__Actinobacteria	58.71672
GF11_B_dam_d111	p__Firmicutes	39.39751
GF11_B_dam_d111	p__Proteobacteria	1.88577
GF11_B_dam_d20	p__Actinobacteria	68.40849
GF11_B_dam_d20	p__Firmicutes	29.32642
GF11_B_dam_d20	p__Proteobacteria	2.26508
GF11_B_dam_d7	p__Actinobacteria	77.25817
GF11_B_dam_d7	p__Firmicutes	17.28002
GF11_B_dam_d7	p__Proteobacteria	5.46181
GF11_B1_COLON_D38	p__Proteobacteria	52.51032
GF11_B1_COLON_D38	p__Firmicutes	37.92552
GF11_B1_COLON_D38	p__Actinobacteria	9.56416
GF11_B1_d105_colon	p__Firmicutes	72.30307
GF11_B1_d105_colon	p__Proteobacteria	27.69693
GF11_B1_D36	p__Proteobacteria	45.29342
GF11_B1_D36	p__Firmicutes	44.60062
GF11_B1_D36	p__Actinobacteria	10.10596
GF11_B1_d71	p__Proteobacteria	98.23761
GF11_B1_d71	p__Actinobacteria	1.74694
GF11_B1_d71	p__Firmicutes	0.01545
GF11_B2_COLON_D38	p__Proteobacteria	84.46688
GF11_B2_COLON_D38	p__Firmicutes	13.63412
GF11_B2_COLON_D38	p__Actinobacteria	1.899
GF11_B2_d105_colon	p__Firmicutes	50.7313
GF11_B2_d105_colon	p__Actinobacteria	42.49539
GF11_B2_d105_colon	p__Proteobacteria	6.77331
GF11_B2_D36	p__Proteobacteria	50.02991
GF11_B2_D36	p__Firmicutes	36.44606
GF11_B2_D36	p__Actinobacteria	13.52404
GF11_B2_d71	p__Proteobacteria	88.35331
GF11_B2_d71	p__Firmicutes	9.63248
GF11_B2_d71	p__Actinobacteria	2.01421
GF11_B2_d73	p__Proteobacteria	100
GF11_B3_COLON_D38	p__Proteobacteria	92.3649
GF11_B3_COLON_D38	p__Firmicutes	7.6351
GF11_B3_d105_colon	p__Actinobacteria	57.22703
GF11_B3_d105_colon	p__Firmicutes	36.2082
GF11_B3_d105_colon	p__Proteobacteria	6.56476
GF11_B3_D35	p__Proteobacteria	95.32235
GF11_B3_D35	p__Firmicutes	4.01707
GF11_B3_D35	p__Actinobacteria	0.66057
GF11_B3_D37	p__Proteobacteria	99.47595
GF11_B3_D37	p__Firmicutes	0.52405
GF11_B3_d71	p__Proteobacteria	98.13924
GF11_B3_d71	p__Firmicutes	1.86076
GF11_B4_COLON_D38	p__Proteobacteria	100
GF11_B4_d105_colon	p__Actinobacteria	73.63776
GF11_B4_d105_colon	p__Firmicutes	22.28891
GF11_B4_d105_colon	p__Proteobacteria	4.07333
GF11_B4_D35	p__Proteobacteria	83.36123
GF11_B4_D35	p__Firmicutes	13.79192
GF11_B4_D35	p__Actinobacteria	2.84686
GF11_B4_D37	p__Proteobacteria	97.16661
GF11_B4_D37	p__Firmicutes	2.83339
GF11_B4_d72	p__Proteobacteria	99.81081
GF11_B4_d72	p__Actinobacteria	0.18919
GF11_B4_d73	p__Proteobacteria	100
GF11_B4_d74_colon	p__Proteobacteria	100
GF11_B5_COLON_D38	p__Proteobacteria	100
GF11_B5_d105_colon	p__Firmicutes	67.8756
GF11_B5_d105_colon	p__Actinobacteria	26.95436
GF11_B5_d105_colon	p__Proteobacteria	5.17004
GF11_B5_D35	p__Proteobacteria	98.80579
GF11_B5_D35	p__Firmicutes	1.19421
GF11_B5_D37	p__Proteobacteria	100
GF11_B5_d71	p__Proteobacteria	76.95051
GF11_B5_d71	p__Firmicutes	22.24047
GF11_B5_d71	p__Actinobacteria	0.80902
GF11_B5_d74_colon	p__Proteobacteria	100
