Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter
GF24_C3_d85_stool,0.64769,0,0,0,0,0.66991,0,0.04312,0,0,0,0,0,0.58008,0,0,98.05919,0,0,0
GF24_C3_d86_cwash,4.22075,0,0,0,0,0,0,12.59593,0,0,0,0,0,1.45308,0.74238,0,80.11221,0.87563,0,0
GF24_C4_37_stool,3.39349,0,0,0,0,0.09748,0,5.3666,0,0,0,0,0,2.52862,0,0,88.61381,0,0,0
GF24_C4_38_cwash,80.81278,0,0,0,0,3.56893,0,0,0,0,0,0,0,12.17629,3.44199,0,0,0,0,0
GF24_C4_38_stool,0,0,0,0,0,28.30576,0,0,0,0,0,0,0,0,71.69424,0,0,0,0,0
GF24_C4_d108_cwash,0,0,0,0,0,0,0,1.13126,0,0,0,0,0,0,0.29337,0,90.9051,7.67027,0,0
GF24_C4_d129_cwash,1.1517,0,0,0,0,78.20194,0,1.09939,0,0,0,0,0,0.15415,0,2.46784,15.48283,1.44216,0,0
GF24_C4_d86_cwash,5.44855,0,0,0,0,0,0,0.38348,0,0,0,0,0,0.06307,0.99128,0,88.93862,4.175,0,0
GF24_C5_36_stool,0.84695,0,0,0,0,80.12739,0,0,0,0,0,0,0,0,0,0,19.02566,0,0,0
GF24_C5_38_stool,81.5583,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4417,0,0,0,0,0
GF24_C5_d108_cwash,0.13626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0119,5.85184,0,0
GF24_C5_d129_cwash,0.093,0,0,0,0,0,0,2.23667,0,0,0,0,0,0.40503,0,1.06939,95.28282,0.91308,0,0
GF24_C5_d85_stool,0.8457,0,0,0,0,0,0,0.22112,0,0,0,0,0,0.12435,0,0,98.76096,0.04787,0,0
GF24_C5_d86_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30096,0,77.64129,19.05775,0,0
GF24_C6_36_stool,4.17908,0,0,0,0,1.33152,0,0.36595,0,0,0,0,0,1.74696,0,0,92.37649,0,0,0
GF24_C6_37_stool,4.91908,0,0,0,0,0.2098,0,4.27455,0,0,0,0,0,1.53885,0,0,89.05772,0,0,0
GF24_C6_38_stool,97.36824,0,0,0,0,1.58053,0,0,0,0,0,0,0,0,1.05123,0,0,0,0,0
GF24_C6_d108_cwash,0.22189,0,0,0,0,0,0,6.45476,0,0,0,0,0,1.31306,0.69186,0,90.97225,0.34618,0,0
GF24_C6_d129_cwash,0.23983,0,0,0,0,51.59529,0,1.22185,0,0,0,0,0,0,0,0,41.50815,5.43488,0,0
GF24_C6_d85_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
GF24_C6_d86_cwash,0.70037,0,0,0,0,0,0,5.42031,0,0,0,0,0,0,4.85169,0,89.02763,0,0,0
GF24_C7_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.21535,9.78465,0,0
GF24_C7_d129_cwash,0,0,0,0,0,45.61454,0,0.87242,0,0,0,0,0,0.35553,0,0,51.73422,1.42329,0,0
GF24_C7_d85_stool,1.21395,0,0,0,0,0.38402,0,0.35624,0,0,0,0,0,0.61491,0,0,97.43088,0,0,0
GF24_C7_d86_cwash,6.75369,0,0,0,0,0,0,4.74847,0,0,0,0,0,0.38985,2.51154,0,85.34742,0.24903,0,0
GF24_C8_d108_cwash,0.15403,0,0,0,0,0,0,0.0381,0,0,0,0,0,0.02829,0,0,98.20558,1.574,0,0
GF24_C8_d85_stool,3.0528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9472,0,0,0
GF24_C8_d86_cwash,1.62731,0,0,0,0,1.78725,0,8.48524,0,0,0,0,0,2.08249,3.01807,0.33095,82.46523,0.20345,0,0
GF24_C9_d108_cwash,0.40003,0,0,0,0,0,0,4.04313,0,0,0,0,0,0,8.08546,0,82.08981,5.38156,0,0
GF24_C9_d85_stool,1.66079,0,0,0,0,0,0,0.05974,0,0,0,0,0,1.07031,0,0.08277,97.12639,0,0,0
GF24_C9_d86_cwash,3.74869,0,0,0,0,1.73504,0,10.37034,0,0,0,0,0,1.17872,5.87031,0,76.2642,0.83271,0,0
GF24_Cdam_d108_stool,12.76876,0,14.28209,0,0,7.61672,0,27.8988,3.92857,0,0,0,0,3.36885,18.60214,3.42095,8.11312,0,0,0
GF24_damA_18_stool,17.73209,0,24.07472,0.19872,0,6.59684,0,23.54837,7.6446,0,0,0,0,1.95433,6.60057,2.23089,9.41886,0,0,0
GF24_damA_3_stool,7.59921,0,0,0,0,3.79768,0,19.12241,2.89345,0,0,0,0,7.37651,17.96868,8.71908,32.52298,0,0,0
GF24_damA_8_stool,8.91771,0,9.39399,1.32385,0,7.79834,0,13.40349,5.54911,0,0,0,0,7.6229,19.16549,7.08664,19.73848,0,0,0
GF24_damB_3_stool,2.77366,0,0,0,0,0.71875,0,67.51946,1.38798,0,0,0,0,10.32229,4.86025,4.4086,7.99883,0,0.01017,0
GF24_damB_8_stool,11.09428,0,19.66932,0,0,5.76233,0,13.98204,4.96616,0,0,0,0,0.28971,28.20472,2.7619,13.26953,0,0,0
GF24_damC_30_stool,3.42561,0,39.39149,0.03711,0,9.07969,0,6.90888,8.38378,0,0,0,0,1.16753,6.12858,1.39748,23.83581,0,0.24403,0
GF24_damC_3_stool,4.12662,0,0,0,0,0.70718,0,54.12389,0.67333,0,0,0,0,11.29807,8.52129,8.59389,11.95573,0,0,0
GF24_damC_51_stool,25.71135,0,0,0,0,6.15013,0,26.51764,0,0,0,0,0,8.36784,18.95702,4.91077,9.10569,0,0.27956,0
GF24_Inoc_0,7.01883,0,0.04989,0,0,0.13668,0.27815,7.28996,0.0503,0,9.03552,0,0,3.0071,2.21149,0.2995,70.62258,0,0,0
GF26_A1_d101_cwash,0,0,0,0,0,1.57297,0,0,0,0,0,0,0,0,0,0,97.84361,0.58342,0,0
GF26_A1_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
GF26_A2_d101_cwash,0,0,0,0,0,58.95254,0,0,0,0,0,0,0,0,0,0,40.54448,0.50298,0,0
GF26_A2_d149_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
GF26_A3_d101_cwash,0,0,0,0,0,0.50808,0,0,0,0,0,0,0,0,0,0,99.16568,0.32624,0,0
GF26_A3_d149_cwash,0,0,0,0,0,0,0,0,98.86013,0,0,0,0,0,0,0,1.13987,0,0,0
GF26_A4_d101_cwash,0,0,0,0,0,0.17417,0,0,0,0,0,0,0,0,0,0,99.72921,0.09662,0,0
GF26_A4_d146_stool,0,0,0,0,0,4.62663,0,0,0,0,0,0,0,0,0,0,95.37337,0,0,0
GF26_A4_d147_stool,0,0,0,0,0,4.19587,0,0,0,0,0,0,0,0,0,0,95.80413,0,0,0
GF26_A4_d148_stool,0,0,0,0,0,0.7731,0,0,0,0,0,0,0,0,0,0,99.2269,0,0,0
GF26_A4_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
GF26_A5_d101_cwash,0,0,0,0,0,0.22163,0,0,0,0,0,0,0,0,0,0,99.56823,0.21013,0,0
GF26_A7_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
GF26_A9_d149_cwash,0,0,0,0,0,0,0,0,44.50616,0,0,0,0,0,0,0,54.15955,1.33428,0,0
GF26_Adam_d148_stool,0,0,0,0,0,6.80516,0,0,1.72608,0,0,0,0,0,0,0,90.92128,0,0,0.54748
GF26_Adam_d98_stool,0,0,0,0,0,36.39138,0,0,2.98327,0,0,0,0,0,0,0,58.43409,0.0569,0,2.13436
GF26_Bdam_d133_stool,0,0,0,0,0,24.9951,0,0,5.08578,0,0,0,0,0,0,0,67.64404,0,0,2.27508
GF26_Bdam_d85_stool,0,0,0,0,0,9.39585,0,0,3.76597,0,0,0,0,0,0,0,85.31254,0,0,1.52564
GF26_Bdam_d91_stool,0,0,0,0,0,16.39283,0,0,4.86243,0,0,0,0,0,0,0,75.9137,0,0,2.83105
GF26_Cdam_d98_stool,14.97965,0,0,5.40198,0,2.94427,0,28.86729,2.16953,0,0,0,0,0.84793,9.83427,5.03825,29.85195,0.02174,0.04314,0
GF27_A1_d33_cwash,0.11902,0,0,0,0,0,0,5.63622,0,0,0,0,0,0.21588,3.15951,0,88.81545,2.05392,0,0
GF27_A2_d33_cwash,0,0,0,0,0,0,0,3.61181,0,0,0,0,0,0.09547,5.34267,7.5553,74.93084,8.46391,0,0
GF27_A3_d33_cwash,0,0,0,0,0,0,0,8.76833,0,0,0,0,0,0.98583,2.69095,0,84.82187,2.73302,0,0
GF27_A6_d33_cwash,0,0,0,0,0,0,0,5.72157,0,0,0,0,0,0.21406,1.93248,0.3168,87.89575,3.91934,0,0
GF27_A7_d33_cwash,0,0,0,0,0,0,0,4.25563,0,0,0,0,0,0.03793,3.08694,0,88.83009,3.7894,0,0
GF27_A8_d33_cwash,0,0,0,0,0,0.54539,0,5.52246,0,0,0,0,0,0.14527,1.05191,4.48541,80.35659,7.89298,0,0
GF27_GF27_Inoc,29.34148,0,0.03931,0,0,0,0.12803,0.99441,0,26.29843,3.021,0,0,0.95278,0.39551,0.06071,38.76834,0,0,0
Gn3_6B_dam_210806,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn3_6B_dam_210818,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn4_G_Innoc,0,0,0,0,0,6.5465,0,0,0,93.4535,0,0,0,0,0,0,0,0,0,0
