Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae,Campylobacteraceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Sphingomonadaceae,Corynebacteriaceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF24_A7_d131_cwash,0,0,0,0,88.38884,0,0.986,0,0,0,0,0,0,10.62517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_d74_cwash,0,0,0,0,97.51367,0,0,0,0,2.12588,0,0,0,0.36045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A8_d108_cwash,0,0,0,0,92.99341,0,0,0,0,0,0,0,0,7.00659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A8_d131_cwash,0,0,0,0,90.52903,0,0,0,0,0,0,0,0,9.47097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A9_d108_cwash,0,2.19589,0,0,96.30511,0,0.65044,0,0,0,0,0.79992,0,0.04864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A9_d131_cwash,0,0.41796,0,0,98.95977,0,0.01559,0,0,0,0,0.03211,0,0.57456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_Adam_d100_stool,2.92344,14.36591,10.66965,0,29.73491,0,22.92362,0,0,9.51886,0,2.89595,6.96767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B1_33_cwash,0,0,0,0,73.67745,0,13.34926,0,0,0,0,0,12.97329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B1_64_cwash,0,3.32586,0,0,35.40339,0,27.80806,0,0,4.16312,0,22.3587,6.94088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B2_33_cwash,0,0.10538,0,0,67.3625,0,18.68918,0,0,6.15116,0,2.1883,5.50348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B2_64_cwash,0,3.61477,0,0,24.02561,0,31.74138,0,0,4.75078,0,23.94761,11.91985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B2_d74_cwash,0,2.82407,0,0,88.02068,0,7.16419,0,0,0,0,1.66138,0,0.32969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B3_33_cwash,0,0.41171,0,0,59.39177,0,18.80378,0,0,13.13572,0,1.69707,6.55996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B3_64_cwash,0,1.5001,0,0,22.00313,0,34.40679,0,0,2.34473,0,24.75597,14.98928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B3_d74_cwash,0,0.477,0,0,98.91517,0,0.21867,0,0,0,0,0,0.38916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B4_33_cwash,0,1.22202,0,0,70.36886,0,17.25512,0,0,5.59344,0,1.06464,4.49591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B4_d73_stool,0,0.4387,0,0,99.5613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B4_d74_cwash,0,0.5879,0,0,93.20183,0,4.76904,0,0,0,0,0.54045,0.86179,0.03898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B5_33_cwash,0,0,0,0,67.23931,0,13.89093,0,0,0,0,0,18.86976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B6_33_cwash,0,0.51822,0,0,76.43131,0,3.79947,0,0,0,0,0.07519,19.17581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B7_33_cwash,0,0,0,0,58.00116,0,12.4975,0,0,2.30438,0,0.65417,26.54279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_Bdam_d114_stool,1.44612,18.05856,0,0,26.48687,0,36.98817,0,0,6.36765,0,1.59739,9.05524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C10_d86_cwash,0,1.44544,0,0,87.1993,0,8.89789,0,0,0,0,0.67951,1.40888,0.36899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C1_37_stool,0,1.70999,0,0,96.28582,0,0.57811,0,0,0,0,1.42608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C1_39_cwash,0,91.71634,0,0,5.60992,0,0,0,0,0,0,0,2.67374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C1_d108_cwash,0,0,0,0,93.72884,0,0,0,0,0,0,0,0,6.27116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
