Sample	Order	Abundance
GF24_C5_d86_cwash	Erysipelotrichales	3.30096
GF24_C6_36_stool	Enterobacterales	93.70801
GF24_C6_36_stool	Lactobacillales	4.17908
GF24_C6_36_stool	Clostridiales	2.11291
GF24_C6_37_stool	Enterobacterales	89.26752
GF24_C6_37_stool	Clostridiales	5.8134
GF24_C6_37_stool	Lactobacillales	4.91908
GF24_C6_38_stool	Lactobacillales	97.36824
GF24_C6_38_stool	Enterobacterales	1.58053
GF24_C6_38_stool	Erysipelotrichales	1.05123
GF24_C6_d108_cwash	Enterobacterales	90.97225
GF24_C6_d108_cwash	Clostridiales	7.76782
GF24_C6_d108_cwash	Erysipelotrichales	0.69186
GF24_C6_d108_cwash	Burkholderiales	0.34618
GF24_C6_d108_cwash	Lactobacillales	0.22189
GF24_C6_d129_cwash	Enterobacterales	93.10344
GF24_C6_d129_cwash	Burkholderiales	5.43488
GF24_C6_d129_cwash	Clostridiales	1.22185
GF24_C6_d129_cwash	Lactobacillales	0.23983
GF24_C6_d85_stool	Enterobacterales	100
GF24_C6_d86_cwash	Enterobacterales	89.02763
GF24_C6_d86_cwash	Clostridiales	5.42031
GF24_C6_d86_cwash	Erysipelotrichales	4.85169
GF24_C6_d86_cwash	Lactobacillales	0.70037
GF24_C7_d108_cwash	Enterobacterales	90.21535
GF24_C7_d108_cwash	Burkholderiales	9.78465
GF24_C7_d129_cwash	Enterobacterales	97.34876
GF24_C7_d129_cwash	Burkholderiales	1.42329
GF24_C7_d129_cwash	Clostridiales	1.22795
GF24_C7_d85_stool	Enterobacterales	97.81491
GF24_C7_d85_stool	Lactobacillales	1.21395
GF24_C7_d85_stool	Clostridiales	0.97115
GF24_C7_d86_cwash	Enterobacterales	85.34742
GF24_C7_d86_cwash	Lactobacillales	6.75369
GF24_C7_d86_cwash	Clostridiales	5.13831
GF24_C7_d86_cwash	Erysipelotrichales	2.51154
GF24_C7_d86_cwash	Burkholderiales	0.24903
GF24_C8_d108_cwash	Enterobacterales	98.20558
GF24_C8_d108_cwash	Burkholderiales	1.574
GF24_C8_d108_cwash	Lactobacillales	0.15403
GF24_C8_d108_cwash	Clostridiales	0.06639
GF24_C8_d85_stool	Enterobacterales	96.9472
GF24_C8_d85_stool	Lactobacillales	3.0528
GF24_C8_d86_cwash	Enterobacterales	84.58344
GF24_C8_d86_cwash	Clostridiales	10.56773
GF24_C8_d86_cwash	Erysipelotrichales	3.01807
GF24_C8_d86_cwash	Lactobacillales	1.62731
GF24_C8_d86_cwash	Burkholderiales	0.20345
GF24_C9_d108_cwash	Enterobacterales	82.08981
GF24_C9_d108_cwash	Erysipelotrichales	8.08546
GF24_C9_d108_cwash	Burkholderiales	5.38156
GF24_C9_d108_cwash	Clostridiales	4.04313
GF24_C9_d108_cwash	Lactobacillales	0.40003
GF24_C9_d85_stool	Enterobacterales	97.20916
GF24_C9_d85_stool	Lactobacillales	1.66079
GF24_C9_d85_stool	Clostridiales	1.13005
GF24_C9_d86_cwash	Enterobacterales	77.99924
GF24_C9_d86_cwash	Clostridiales	11.54906
GF24_C9_d86_cwash	Erysipelotrichales	5.87031
GF24_C9_d86_cwash	Lactobacillales	3.74869
GF24_C9_d86_cwash	Burkholderiales	0.83271
GF24_Cdam_d108_stool	Clostridiales	31.26765
GF24_Cdam_d108_stool	Enterobacterales	23.07936
GF24_Cdam_d108_stool	Erysipelotrichales	18.60214
GF24_Cdam_d108_stool	Actinomycetales	14.28209
GF24_Cdam_d108_stool	Lactobacillales	12.76876
GF24_damA_18_stool	Enterobacterales	25.89119
GF24_damA_18_stool	Clostridiales	25.50269
GF24_damA_18_stool	Actinomycetales	24.07472
GF24_damA_18_stool	Lactobacillales	17.73209
GF24_damA_18_stool	Erysipelotrichales	6.60057
GF24_damA_18_stool	Tissierellales	0.19872
GF24_damA_3_stool	Enterobacterales	47.93319
GF24_damA_3_stool	Clostridiales	26.49892
GF24_damA_3_stool	Erysipelotrichales	17.96868
GF24_damA_3_stool	Lactobacillales	7.59921
GF24_damA_8_stool	Enterobacterales	40.17257
GF24_damA_8_stool	Clostridiales	21.02638
GF24_damA_8_stool	Erysipelotrichales	19.16549
GF24_damA_8_stool	Actinomycetales	9.39399
GF24_damA_8_stool	Lactobacillales	8.91771
GF24_damA_8_stool	Tissierellales	1.32385
GF24_damB_3_stool	Clostridiales	77.84176
GF24_damB_3_stool	Enterobacterales	14.52433
GF24_damB_3_stool	Erysipelotrichales	4.86025
GF24_damB_3_stool	Lactobacillales	2.77366
GF24_damB_8_stool	Erysipelotrichales	28.20472
GF24_damB_8_stool	Enterobacterales	26.75993
GF24_damB_8_stool	Actinomycetales	19.66932
GF24_damB_8_stool	Clostridiales	14.27175
GF24_damB_8_stool	Lactobacillales	11.09428
GF24_damC_30_stool	Enterobacterales	42.9408
GF24_damC_30_stool	Actinomycetales	39.39149
GF24_damC_30_stool	Clostridiales	8.07641
GF24_damC_30_stool	Erysipelotrichales	6.12858
GF24_damC_30_stool	Lactobacillales	3.42561
GF24_damC_30_stool	Tissierellales	0.03711
GF24_damC_3_stool	Clostridiales	65.42195
GF24_damC_3_stool	Enterobacterales	21.93013
GF24_damC_3_stool	Erysipelotrichales	8.52129
GF24_damC_3_stool	Lactobacillales	4.12662
GF24_damC_51_stool	Clostridiales	34.88548
GF24_damC_51_stool	Lactobacillales	25.71135
GF24_damC_51_stool	Enterobacterales	20.44615
GF24_damC_51_stool	Erysipelotrichales	18.95702
GF24_Inoc_0	Enterobacterales	71.10906
GF24_Inoc_0	Clostridiales	10.29706
GF24_Inoc_0	Veillonellales	9.03552
GF24_Inoc_0	Lactobacillales	7.29698
GF24_Inoc_0	Erysipelotrichales	2.21149
GF24_Inoc_0	Actinomycetales	0.04989
GF26_A1_d101_cwash	Enterobacterales	99.41658
GF26_A1_d101_cwash	Burkholderiales	0.58342
GF26_A1_d65_cwash	Burkholderiales	100
