Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter,Peptoniphilus,Campylobacter,Gemella,Bacteroides,Akkermansia,Lactobacillus,Blautia,Lachnoclostridium,Parasutterella,Proteobacteria_unclassified,Turicimonas,Sphingomonas,Negativicoccus,Actinomyces,Corynebacterium,Aeriscardovia,Mycobacteroides,Lachnospiraceae_unclassified,Acutalibacter,Anaerotruncus,Dorea,Enterorhabdus,Oscillibacter,Cutibacterium,Fusobacterium,Serratia,Leclercia,Pedobacter,Delftia,Paenibacillus,Acinetobacter
GF24_A7_39_cwash,1.9739,0,0,0,0,4.86083,0,35.27437,0,0,0,0,0,12.09772,8.4463,0,37.34688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_d108_cwash,0.02807,0,0,0,0,0,0,1.20289,0,0,0,0,0,0.12484,2.38316,6.23287,88.38242,1.64576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_d131_cwash,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,88.38884,10.62517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_d74_cwash,0,0,0,0,0,60.62201,0,0,0,0,0,0,0,0,0,2.12588,36.89165,0.36045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A8_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.99341,7.00659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A8_d131_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.52903,9.47097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A9_d108_cwash,2.19589,0,0,0,0,0,0,0.65044,0,0,0,0,0,0.79992,0,0,96.30511,0.04864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A9_d131_cwash,0.41796,0,0,0,0,0,0,0.01559,0,0,0,0,0,0.03211,0,0,98.95977,0.57456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_Adam_d100_stool,14.36591,0,10.66965,2.92344,0,8.11377,0,22.92362,0.61991,0,0,0,0,2.89595,6.96767,9.51886,21.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B1_33_cwash,0,0,0,0,0,17.35613,0,13.34926,0,0,0,0,0,0,12.97329,0,56.32132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_B1_64_cwash,3.32586,0,0,0,0,7.53504,0,27.80806,9.97438,0,0,0,0,22.3587,6.94088,4.16312,17.89396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
