Sample	Class	Abundance
GF24_B5_33_cwash	Clostridia	13.89093
GF24_B6_33_cwash	Gammaproteobacteria	76.43131
GF24_B6_33_cwash	Erysipelotrichia	19.17581
GF24_B6_33_cwash	Clostridia	3.87467
GF24_B6_33_cwash	Bacilli	0.51822
GF24_B7_33_cwash	Gammaproteobacteria	60.30554
GF24_B7_33_cwash	Erysipelotrichia	26.54279
GF24_B7_33_cwash	Clostridia	13.15167
GF24_Bdam_d114_stool	Clostridia	38.58555
GF24_Bdam_d114_stool	Gammaproteobacteria	32.85452
GF24_Bdam_d114_stool	Bacilli	18.05856
GF24_Bdam_d114_stool	Erysipelotrichia	9.05524
GF24_Bdam_d114_stool	Tissierellia	1.44612
GF24_C10_d86_cwash	Gammaproteobacteria	87.1993
GF24_C10_d86_cwash	Clostridia	9.5774
GF24_C10_d86_cwash	Bacilli	1.44544
GF24_C10_d86_cwash	Erysipelotrichia	1.40888
GF24_C10_d86_cwash	Betaproteobacteria	0.36899
GF24_C1_37_stool	Gammaproteobacteria	96.28582
GF24_C1_37_stool	Clostridia	2.00419
GF24_C1_37_stool	Bacilli	1.70999
GF24_C1_39_cwash	Bacilli	91.71634
GF24_C1_39_cwash	Gammaproteobacteria	5.60992
GF24_C1_39_cwash	Erysipelotrichia	2.67374
GF24_C1_d108_cwash	Gammaproteobacteria	93.72884
GF24_C1_d108_cwash	Betaproteobacteria	6.27116
GF24_C1_d129_cwash	Gammaproteobacteria	98.23737
GF24_C1_d129_cwash	Betaproteobacteria	1.3381
GF24_C1_d129_cwash	Clostridia	0.27134
GF24_C1_d129_cwash	Bacilli	0.12746
GF24_C1_d129_cwash	Erysipelotrichia	0.02572
GF24_C2_39_cwash	Bacilli	69.26263
GF24_C2_39_cwash	Clostridia	16.47843
GF24_C2_39_cwash	Erysipelotrichia	8.57773
GF24_C2_39_cwash	Gammaproteobacteria	5.68121
GF24_C2_d108_cwash	Gammaproteobacteria	84.2684
GF24_C2_d108_cwash	Clostridia	7.63429
GF24_C2_d108_cwash	Erysipelotrichia	6.40381
GF24_C2_d108_cwash	Bacilli	0.86403
GF24_C2_d108_cwash	Betaproteobacteria	0.82947
GF24_C2_d129_cwash	Gammaproteobacteria	95.66632
GF24_C2_d129_cwash	Betaproteobacteria	4.33368
GF24_C2_d86_cwash	Gammaproteobacteria	91.11717
GF24_C2_d86_cwash	Clostridia	4.80714
GF24_C2_d86_cwash	Erysipelotrichia	2.08909
GF24_C2_d86_cwash	Bacilli	1.8642
GF24_C2_d86_cwash	Betaproteobacteria	0.1224
GF24_C3_37_stool	Gammaproteobacteria	96.63909
GF24_C3_37_stool	Bacilli	2.39829
GF24_C3_37_stool	Clostridia	0.96263
GF24_C3_38_cwash	Bacilli	90.05915
GF24_C3_38_cwash	Gammaproteobacteria	9.94085
GF24_C3_d108_cwash	Gammaproteobacteria	99.38236
GF24_C3_d108_cwash	Betaproteobacteria	0.61764
GF24_C3_d129_cwash	Gammaproteobacteria	91.14841
GF24_C3_d129_cwash	Betaproteobacteria	5.97903
GF24_C3_d129_cwash	Clostridia	2.47184
GF24_C3_d129_cwash	Erysipelotrichia	0.40071
GF24_C3_d85_stool	Gammaproteobacteria	98.7291
GF24_C3_d85_stool	Bacilli	0.64769
GF24_C3_d85_stool	Clostridia	0.62321
GF24_C3_d86_cwash	Gammaproteobacteria	80.11221
GF24_C3_d86_cwash	Clostridia	14.04902
GF24_C3_d86_cwash	Bacilli	4.22075
GF24_C3_d86_cwash	Betaproteobacteria	0.87563
GF24_C3_d86_cwash	Erysipelotrichia	0.74238
GF24_C4_37_stool	Gammaproteobacteria	88.71129
GF24_C4_37_stool	Clostridia	7.89521
GF24_C4_37_stool	Bacilli	3.39349
GF24_C4_38_cwash	Bacilli	80.81278
GF24_C4_38_cwash	Clostridia	12.17629
GF24_C4_38_cwash	Gammaproteobacteria	3.56893
GF24_C4_38_cwash	Erysipelotrichia	3.44199
GF24_C4_38_stool	Erysipelotrichia	71.69424
GF24_C4_38_stool	Gammaproteobacteria	28.30576
GF24_C4_d108_cwash	Gammaproteobacteria	90.9051
GF24_C4_d108_cwash	Betaproteobacteria	7.67027
GF24_C4_d108_cwash	Clostridia	1.13126
GF24_C4_d108_cwash	Erysipelotrichia	0.29337
GF24_C4_d129_cwash	Gammaproteobacteria	96.1526
GF24_C4_d129_cwash	Betaproteobacteria	1.44216
GF24_C4_d129_cwash	Clostridia	1.25354
GF24_C4_d129_cwash	Bacilli	1.1517
GF24_C4_d86_cwash	Gammaproteobacteria	88.93862
GF24_C4_d86_cwash	Bacilli	5.44855
GF24_C4_d86_cwash	Betaproteobacteria	4.175
GF24_C4_d86_cwash	Erysipelotrichia	0.99128
GF24_C4_d86_cwash	Clostridia	0.44655
GF24_C5_36_stool	Gammaproteobacteria	99.15305
GF24_C5_36_stool	Bacilli	0.84695
GF24_C5_38_stool	Bacilli	81.5583
GF24_C5_38_stool	Erysipelotrichia	18.4417
GF24_C5_d108_cwash	Gammaproteobacteria	94.0119
GF24_C5_d108_cwash	Betaproteobacteria	5.85184
GF24_C5_d108_cwash	Bacilli	0.13626
GF24_C5_d129_cwash	Gammaproteobacteria	96.35221
GF24_C5_d129_cwash	Clostridia	2.6417
GF24_C5_d129_cwash	Betaproteobacteria	0.91308
GF24_C5_d129_cwash	Bacilli	0.093
GF24_C5_d85_stool	Gammaproteobacteria	98.76096
GF24_C5_d85_stool	Bacilli	0.8457
GF24_C5_d85_stool	Clostridia	0.34547
GF24_C5_d85_stool	Betaproteobacteria	0.04787
GF24_C5_d86_cwash	Gammaproteobacteria	77.64129
GF24_C5_d86_cwash	Betaproteobacteria	19.05775
GF24_C5_d86_cwash	Erysipelotrichia	3.30096
GF24_C6_36_stool	Gammaproteobacteria	93.70801
GF24_C6_36_stool	Bacilli	4.17908
GF24_C6_36_stool	Clostridia	2.11291
GF24_C6_37_stool	Gammaproteobacteria	89.26752
GF24_C6_37_stool	Clostridia	5.8134
GF24_C6_37_stool	Bacilli	4.91908
GF24_C6_38_stool	Bacilli	97.36824
GF24_C6_38_stool	Gammaproteobacteria	1.58053
GF24_C6_38_stool	Erysipelotrichia	1.05123
GF24_C6_d108_cwash	Gammaproteobacteria	90.97225
GF24_C6_d108_cwash	Clostridia	7.76782
GF24_C6_d108_cwash	Erysipelotrichia	0.69186
GF24_C6_d108_cwash	Betaproteobacteria	0.34618
GF24_C6_d108_cwash	Bacilli	0.22189
GF24_C6_d129_cwash	Gammaproteobacteria	93.10344
GF24_C6_d129_cwash	Betaproteobacteria	5.43488
GF24_C6_d129_cwash	Clostridia	1.22185
GF24_C6_d129_cwash	Bacilli	0.23983
GF24_C6_d85_stool	Gammaproteobacteria	100
GF24_C6_d86_cwash	Gammaproteobacteria	89.02763
GF24_C6_d86_cwash	Clostridia	5.42031
GF24_C6_d86_cwash	Erysipelotrichia	4.85169
GF24_C6_d86_cwash	Bacilli	0.70037
GF24_C7_d108_cwash	Gammaproteobacteria	90.21535
GF24_C7_d108_cwash	Betaproteobacteria	9.78465
GF24_C7_d129_cwash	Gammaproteobacteria	97.34876
GF24_C7_d129_cwash	Betaproteobacteria	1.42329
GF24_C7_d129_cwash	Clostridia	1.22795
GF24_C7_d85_stool	Gammaproteobacteria	97.81491
GF24_C7_d85_stool	Bacilli	1.21395
GF24_C7_d85_stool	Clostridia	0.97115
GF24_C7_d86_cwash	Gammaproteobacteria	85.34742
GF24_C7_d86_cwash	Bacilli	6.75369
GF24_C7_d86_cwash	Clostridia	5.13831
GF24_C7_d86_cwash	Erysipelotrichia	2.51154
GF24_C7_d86_cwash	Betaproteobacteria	0.24903
GF24_C8_d108_cwash	Gammaproteobacteria	98.20558
GF24_C8_d108_cwash	Betaproteobacteria	1.574
GF24_C8_d108_cwash	Bacilli	0.15403
GF24_C8_d108_cwash	Clostridia	0.06639
GF24_C8_d85_stool	Gammaproteobacteria	96.9472
GF24_C8_d85_stool	Bacilli	3.0528
GF24_C8_d86_cwash	Gammaproteobacteria	84.58344
GF24_C8_d86_cwash	Clostridia	10.56773
GF24_C8_d86_cwash	Erysipelotrichia	3.01807
GF24_C8_d86_cwash	Bacilli	1.62731
GF24_C8_d86_cwash	Betaproteobacteria	0.20345
GF24_C9_d108_cwash	Gammaproteobacteria	82.08981
GF24_C9_d108_cwash	Erysipelotrichia	8.08546
GF24_C9_d108_cwash	Betaproteobacteria	5.38156
GF24_C9_d108_cwash	Clostridia	4.04313
GF24_C9_d108_cwash	Bacilli	0.40003
GF24_C9_d85_stool	Gammaproteobacteria	97.20916
GF24_C9_d85_stool	Bacilli	1.66079
GF24_C9_d85_stool	Clostridia	1.13005
GF24_C9_d86_cwash	Gammaproteobacteria	77.99924
GF24_C9_d86_cwash	Clostridia	11.54906
GF24_C9_d86_cwash	Erysipelotrichia	5.87031
GF24_C9_d86_cwash	Bacilli	3.74869
GF24_C9_d86_cwash	Betaproteobacteria	0.83271
GF24_Cdam_d108_stool	Clostridia	31.26765
GF24_Cdam_d108_stool	Gammaproteobacteria	23.07936
GF24_Cdam_d108_stool	Erysipelotrichia	18.60214
GF24_Cdam_d108_stool	Actinobacteria	14.28209
GF24_Cdam_d108_stool	Bacilli	12.76876
GF24_damA_18_stool	Gammaproteobacteria	25.89119
GF24_damA_18_stool	Clostridia	25.50269
GF24_damA_18_stool	Actinobacteria	24.07472
GF24_damA_18_stool	Bacilli	17.73209
GF24_damA_18_stool	Erysipelotrichia	6.60057
GF24_damA_18_stool	Tissierellia	0.19872
GF24_damA_3_stool	Gammaproteobacteria	47.93319
GF24_damA_3_stool	Clostridia	26.49892
GF24_damA_3_stool	Erysipelotrichia	17.96868
GF24_damA_3_stool	Bacilli	7.59921
GF24_damA_8_stool	Gammaproteobacteria	40.17257
GF24_damA_8_stool	Clostridia	21.02638
GF24_damA_8_stool	Erysipelotrichia	19.16549
GF24_damA_8_stool	Actinobacteria	9.39399
GF24_damA_8_stool	Bacilli	8.91771
GF24_damA_8_stool	Tissierellia	1.32385
GF24_damB_3_stool	Clostridia	77.84176
GF24_damB_3_stool	Gammaproteobacteria	14.52433
GF24_damB_3_stool	Erysipelotrichia	4.86025
GF24_damB_3_stool	Bacilli	2.77366
GF24_damB_8_stool	Erysipelotrichia	28.20472
GF24_damB_8_stool	Gammaproteobacteria	26.75993
GF24_damB_8_stool	Actinobacteria	19.66932
GF24_damB_8_stool	Clostridia	14.27175
GF24_damB_8_stool	Bacilli	11.09428
