feature	Klebsiella	Achromobacter	Escherichia	Enterococcus	Pedobacter	Delftia	Paenibacillus	Acinetobacter	Clostridium	Erysipelatoclostridium	Clostridioides	Veillonella	Proteus	Citrobacter	Peptoniphilus	Campylobacter	Varibaculum	Finegoldia	Gemella	Bacteroides	Akkermansia	Lactobacillus	Blautia	Lachnoclostridium	Parasutterella	Proteobacteria_unclassified	Turicimonas	Streptococcus	Staphylococcus	Sphingomonas	Anaerococcus	Bifidobacterium	Morganella	Negativicoccus	Actinomyces	Corynebacterium	Dermabacter	Aeriscardovia	Mycobacteroides	Lachnospiraceae_unclassified	Acutalibacter	Anaerotruncus	Dorea	Enterorhabdus	Oscillibacter	Pseudomonas	Ruthenibacterium	Enterobacter	Cutibacterium	Serratia	Leclercia	Dysgonomonas	Collinsella	Gleimia	Fusobacterium	GGB9832	Bacillus	Burkholderia
GF4_C4_d37	0.2203941	NA	0.0526475	0.4041465	NA	NA	NA	NA	0.1015021	NA	0.1491772	NA	NA	0.0721326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D47	0.250502974949703	NA	0.237583776241622	0.0324732967526703	NA	NA	NA	NA	0.237135476286452	NA	0.096813490318651	0.0215792978420702	NA	0.0380094961990504	NA	NA	NA	0.0525110947488905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0095730990426901	0.0238179976182002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D48	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D80	NA	NA	0.99430710056929	0.00276179972382003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00293109970689003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D81	NA	NA	0.9442195	0.0185156	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0338916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0033733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A2_D48	NA	NA	0.056353	0.0238966	NA	NA	NA	NA	0.1767926	NA	0.0294402	NA	NA	0.0154181	NA	NA	NA	0.0020685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.696031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A6_D81	NA	NA	0.8561308	0.1296479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0142213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A7_D80	NA	NA	0.2230684	0.2778751	NA	NA	NA	NA	0.2970858	NA	0.0308693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1711014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A7_D81	NA	NA	0.0112954	0.1139413	NA	NA	NA	NA	0.7137872	NA	NA	NA	NA	0.0405836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1203925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_B1_D80	NA	NA	0.505896249410375	0.0158761984123802	NA	NA	NA	NA	0.00635749936425006	NA	0.000471399952860005	NA	NA	0.471398652860135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
